Subject,Item,PrimeCategory,Response,PrimeType
9,6,Dative,1,Preferred
9,7,Transitive,0,Dispreferred
9,9,Dative,0,Dispreferred
9,10,Transitive,0,Dispreferred
9,11,Locative,1,Preferred
9,13,Transitive,1,Dispreferred
9,14,Locative,1,Dispreferred
9,15,Dative,1,Dispreferred
9,16,Transitive,0,Preferred
9,19,Transitive,0,Dispreferred
9,20,Locative,1,Preferred
9,21,Dative,1,Preferred
9,24,Dative,1,Preferred
9,25,Transitive,0,Preferred
9,28,Transitive,0,Preferred
9,31,Transitive,0,Dispreferred
9,33,Dative,1,Preferred
9,36,Dative,1,Dispreferred
9,37,Transitive,0,Dispreferred
9,38,Locative,1,Dispreferred
9,39,Dative,1,Preferred
9,40,Transitive,1,Dispreferred
9,41,Locative,1,Preferred
9,42,Dative,1,Dispreferred
9,43,Transitive,0,Preferred
9,44,Locative,1,Dispreferred
9,45,Dative,1,Dispreferred
9,46,Transitive,0,Preferred
9,47,Locative,1,Preferred
10,3,Dative,0,Dispreferred
10,4,Transitive,1,Preferred
10,6,Dative,0,Preferred
10,7,Transitive,1,Dispreferred
10,9,Dative,0,Dispreferred
10,10,Transitive,1,Dispreferred
10,12,Dative,1,Preferred
10,13,Transitive,0,Dispreferred
10,15,Dative,0,Dispreferred
10,16,Transitive,1,Preferred
10,17,Locative,0,Preferred
10,18,Dative,0,Dispreferred
10,19,Transitive,1,Dispreferred
10,21,Dative,0,Preferred
10,24,Dative,0,Preferred
10,27,Dative,0,Dispreferred
10,28,Transitive,1,Preferred
10,31,Transitive,0,Dispreferred
10,32,Locative,1,Dispreferred
10,33,Dative,0,Preferred
10,34,Transitive,0,Dispreferred
10,35,Locative,1,Preferred
10,36,Dative,1,Dispreferred
10,38,Locative,0,Dispreferred
10,39,Dative,0,Preferred
10,40,Transitive,1,Dispreferred
10,41,Locative,0,Preferred
10,42,Dative,0,Dispreferred
10,43,Transitive,0,Preferred
10,45,Dative,0,Dispreferred
10,47,Locative,0,Preferred
10,48,Dative,0,Preferred
11,1,Transitive,0,Dispreferred
11,4,Transitive,1,Dispreferred
11,6,Dative,1,Dispreferred
11,7,Transitive,1,Preferred
11,9,Dative,0,Preferred
11,10,Transitive,1,Preferred
11,11,Locative,1,Dispreferred
11,13,Transitive,1,Preferred
11,14,Locative,1,Preferred
11,15,Dative,1,Preferred
11,16,Transitive,0,Dispreferred
11,17,Locative,1,Dispreferred
11,18,Dative,1,Preferred
11,19,Transitive,0,Preferred
11,20,Locative,1,Dispreferred
11,21,Dative,0,Dispreferred
11,24,Dative,0,Dispreferred
11,25,Transitive,0,Dispreferred
11,26,Locative,0,Dispreferred
11,27,Dative,1,Preferred
11,28,Transitive,1,Dispreferred
11,29,Locative,1,Preferred
11,30,Dative,1,Dispreferred
11,31,Transitive,0,Preferred
11,32,Locative,1,Preferred
11,34,Transitive,0,Preferred
11,36,Dative,1,Preferred
11,37,Transitive,1,Preferred
11,38,Locative,0,Preferred
11,39,Dative,1,Dispreferred
11,40,Transitive,1,Preferred
11,41,Locative,0,Dispreferred
11,42,Dative,0,Preferred
11,43,Transitive,0,Dispreferred
11,44,Locative,1,Preferred
11,45,Dative,0,Preferred
11,47,Locative,1,Dispreferred
11,48,Dative,0,Dispreferred
12,1,Transitive,1,Preferred
12,2,Locative,1,Dispreferred
12,3,Dative,1,Dispreferred
12,5,Locative,1,Dispreferred
12,6,Dative,1,Preferred
12,7,Transitive,1,Dispreferred
12,8,Locative,1,Preferred
12,9,Dative,0,Dispreferred
12,10,Transitive,1,Dispreferred
12,12,Dative,1,Preferred
12,14,Locative,1,Dispreferred
12,15,Dative,0,Dispreferred
12,16,Transitive,1,Preferred
12,18,Dative,1,Dispreferred
12,19,Transitive,1,Dispreferred
12,21,Dative,0,Preferred
12,22,Transitive,1,Preferred
12,24,Dative,0,Preferred
12,25,Transitive,0,Preferred
12,26,Locative,1,Preferred
12,28,Transitive,1,Preferred
12,29,Locative,1,Dispreferred
12,30,Dative,1,Preferred
12,31,Transitive,1,Dispreferred
12,32,Locative,1,Dispreferred
12,33,Dative,1,Preferred
12,34,Transitive,0,Dispreferred
12,38,Locative,0,Dispreferred
12,39,Dative,0,Preferred
12,40,Transitive,1,Dispreferred
12,41,Locative,0,Preferred
12,42,Dative,0,Dispreferred
12,43,Transitive,0,Preferred
12,45,Dative,0,Dispreferred
12,47,Locative,1,Preferred
12,48,Dative,0,Preferred
13,1,Transitive,1,Preferred
13,2,Locative,1,Dispreferred
13,3,Dative,0,Dispreferred
13,4,Transitive,1,Preferred
13,5,Locative,0,Dispreferred
13,6,Dative,1,Preferred
13,7,Transitive,1,Dispreferred
13,8,Locative,1,Preferred
13,9,Dative,1,Dispreferred
13,10,Transitive,0,Dispreferred
13,11,Locative,0,Preferred
13,13,Transitive,1,Dispreferred
13,14,Locative,1,Dispreferred
13,15,Dative,1,Dispreferred
13,16,Transitive,1,Preferred
13,17,Locative,1,Preferred
13,18,Dative,1,Dispreferred
13,19,Transitive,1,Dispreferred
13,20,Locative,1,Preferred
13,21,Dative,1,Preferred
13,22,Transitive,1,Preferred
13,23,Locative,1,Dispreferred
13,24,Dative,1,Preferred
13,26,Locative,1,Preferred
13,27,Dative,1,Dispreferred
13,28,Transitive,1,Preferred
13,31,Transitive,0,Dispreferred
13,32,Locative,1,Dispreferred
13,33,Dative,1,Preferred
13,34,Transitive,0,Dispreferred
13,39,Dative,1,Preferred
13,40,Transitive,1,Dispreferred
13,41,Locative,0,Preferred
13,42,Dative,1,Dispreferred
13,43,Transitive,0,Preferred
13,44,Locative,1,Dispreferred
13,45,Dative,1,Dispreferred
13,46,Transitive,1,Preferred
13,47,Locative,1,Preferred
13,48,Dative,1,Preferred
14,1,Transitive,1,Dispreferred
14,2,Locative,1,Preferred
14,3,Dative,1,Preferred
14,4,Transitive,1,Dispreferred
14,5,Locative,1,Preferred
14,6,Dative,1,Dispreferred
14,7,Transitive,1,Preferred
14,8,Locative,1,Dispreferred
14,10,Transitive,1,Preferred
14,11,Locative,1,Dispreferred
14,12,Dative,1,Dispreferred
14,14,Locative,1,Preferred
14,15,Dative,1,Preferred
14,16,Transitive,1,Dispreferred
14,18,Dative,1,Preferred
14,19,Transitive,1,Preferred
14,20,Locative,1,Dispreferred
14,21,Dative,1,Dispreferred
14,22,Transitive,1,Dispreferred
14,23,Locative,1,Preferred
14,24,Dative,1,Dispreferred
14,25,Transitive,1,Dispreferred
14,28,Transitive,1,Dispreferred
14,31,Transitive,1,Preferred
14,34,Transitive,1,Preferred
14,36,Dative,1,Preferred
14,37,Transitive,1,Preferred
14,39,Dative,1,Dispreferred
14,42,Dative,1,Preferred
14,43,Transitive,1,Dispreferred
14,46,Transitive,0,Dispreferred
14,47,Locative,0,Dispreferred
15,1,Transitive,1,Preferred
15,3,Dative,0,Dispreferred
15,4,Transitive,1,Preferred
15,6,Dative,0,Preferred
15,7,Transitive,1,Dispreferred
15,9,Dative,0,Dispreferred
15,11,Locative,0,Preferred
15,12,Dative,0,Preferred
15,13,Transitive,1,Dispreferred
15,15,Dative,0,Dispreferred
15,16,Transitive,1,Preferred
15,17,Locative,1,Preferred
15,18,Dative,0,Dispreferred
15,19,Transitive,0,Dispreferred
15,20,Locative,1,Preferred
15,21,Dative,1,Preferred
15,22,Transitive,1,Preferred
15,23,Locative,1,Dispreferred
15,25,Transitive,1,Preferred
15,26,Locative,1,Preferred
15,27,Dative,0,Dispreferred
15,28,Transitive,1,Preferred
15,29,Locative,0,Dispreferred
15,31,Transitive,0,Dispreferred
15,32,Locative,1,Dispreferred
15,33,Dative,0,Preferred
15,34,Transitive,0,Dispreferred
15,36,Dative,0,Dispreferred
15,37,Transitive,0,Dispreferred
15,38,Locative,1,Dispreferred
15,39,Dative,0,Preferred
15,40,Transitive,1,Dispreferred
15,41,Locative,1,Preferred
15,42,Dative,0,Dispreferred
15,43,Transitive,0,Preferred
15,44,Locative,1,Dispreferred
15,45,Dative,0,Dispreferred
15,47,Locative,1,Preferred
15,48,Dative,0,Preferred
20,1,Transitive,1,Preferred
20,2,Locative,1,Dispreferred
20,3,Dative,1,Dispreferred
20,4,Transitive,1,Preferred
20,6,Dative,1,Preferred
20,7,Transitive,0,Dispreferred
20,9,Dative,0,Dispreferred
20,10,Transitive,0,Dispreferred
20,12,Dative,1,Preferred
20,13,Transitive,0,Dispreferred
20,14,Locative,0,Dispreferred
20,15,Dative,0,Dispreferred
20,16,Transitive,1,Preferred
20,18,Dative,1,Dispreferred
20,19,Transitive,0,Dispreferred
20,20,Locative,1,Preferred
20,21,Dative,1,Preferred
20,22,Transitive,1,Preferred
20,23,Locative,0,Dispreferred
20,24,Dative,0,Preferred
20,25,Transitive,0,Preferred
20,26,Locative,1,Preferred
20,27,Dative,0,Dispreferred
20,28,Transitive,1,Preferred
20,29,Locative,0,Dispreferred
20,30,Dative,0,Preferred
20,31,Transitive,0,Dispreferred
20,32,Locative,1,Dispreferred
20,33,Dative,0,Preferred
20,34,Transitive,0,Dispreferred
20,35,Locative,1,Preferred
20,36,Dative,0,Dispreferred
20,37,Transitive,1,Dispreferred
20,38,Locative,0,Dispreferred
