Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
C,Homogenous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,1,5
A,Heterogeneous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,1,5
C,Heterogeneous,Preferred,A chef is brushing butter on a turkey,1,Locative,30,1,5
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,1,5
C,Heterogeneous,Dispreferred,A baker is dusting cake with powdered sugar,0,Locative,32,1,5
F,Homogenous,Preferred,the woman is spritzing water on her plants,0,Locative,1,2,6
G,Homogenous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,2,6
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,6
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,1,Dative,5,2,6
G,Heterogeneous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,2,6
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,2,6
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,0,Locative,9,2,6
F,Heterogeneous,Preferred,Some guy is throwing his friend a frisbee,0,Dative,10,2,6
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,0,Locative,11,2,6
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,6
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,0,Dative,13,2,6
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,2,6
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,2,6
D,Homogenous,Preferred,A woman is rubbing lotion on a baby,1,Locative,16,2,6
H,Heterogeneous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,2,6
C,Homogenous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,2,6
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,0,Dative,19,2,6
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,2,6
B,Homogenous,Preferred,A man is packing beers in a cooler,1,Locative,21,2,6
A,Homogenous,Dispreferred,A man is giving a gift to a little girl,0,Dative,22,2,6
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,6
E,Homogenous,Preferred,A guy is showing a bouncer his ID,0,Dative,24,2,6
H,Homogenous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,2,6
C,Homogenous,Preferred,A girl is reading a little boy a book,0,Dative,26,2,6
A,Homogenous,Preferred,A girl is handing a man a paintbrush,0,Dative,27,2,6
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,2,6
B,Homogenous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,2,6
D,Homogenous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,2,6
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,1,Dative,31,2,6
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,0,Locative,32,2,6
E,Heterogeneous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,3,7
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,3,7
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,1,Locative,3,3,7
H,Homogenous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,3,7
E,Homogenous,Preferred,The lawyer is showing the judge the gun,1,Dative,5,3,7
A,Heterogeneous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,3,7
F,Homogenous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,3,7
G,Homogenous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,3,7
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,3,7
B,Homogenous,Preferred,men are loading toxic waste on a truck,1,Locative,12,3,7
A,Homogenous,Preferred,An old woman is giving an old man a cake,0,Dative,13,3,7
F,Heterogeneous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,3,7
E,Homogenous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,3,7
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,7
C,Homogenous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,3,7
H,Heterogeneous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,3,7
F,Heterogeneous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,3,7
A,Homogenous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,3,7
E,Heterogeneous,Preferred,A man is packing beers in a cooler,1,Locative,21,3,7
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,3,7
H,Homogenous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,3,7
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,3,7
G,Heterogeneous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,3,7
B,Heterogeneous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,3,7
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,3,7
C,Homogenous,Preferred,A father is reading his little girl a book,0,Dative,28,3,7
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,7
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,0,Locative,30,3,7
G,Homogenous,Preferred,A boy is throwing a man a baseball,0,Dative,31,3,7
C,Heterogeneous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,3,7
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,4,8
G,Homogenous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,4,8
C,Heterogeneous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,4,8
C,Heterogeneous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,4,8
D,Heterogeneous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,4,8
G,Heterogeneous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,4,8
