Subject,List,CardSet,VerbCat,Response,VerbClass,Item,Homogeneity,PrimeType
18,2,1,spray,1,Locative,42,Homogeneous,Dispreferred
18,2,1,read,0,Dative,10,Heterogeneous,Preferred
18,2,1,spray,1,Locative,40,Homogeneous,Dispreferred
18,2,1,give,0,Dative,6,Heterogeneous,Dispreferred
18,2,1,spray,1,Locative,41,Homogeneous,Preferred
18,2,1,throw,1,Dative,20,Heterogeneous,Preferred
18,2,1,spray,1,Locative,37,Homogeneous,Preferred
18,2,1,show,0,Dative,18,Heterogeneous,Dispreferred
19,3,2,read,1,Dative,7,Homogeneous,Preferred
19,3,2,read,1,Dative,8,Homogeneous,Preferred
19,3,2,read,1,Dative,9,Homogeneous,Dispreferred
19,3,2,read,1,Dative,10,Homogeneous,Dispreferred
19,3,2,spray,1,Locative,41,Heterogeneous,Preferred
19,3,2,read,1,Dative,12,Heterogeneous,Preferred
19,3,2,rub,1,Locative,31,Homogeneous,Preferred
19,3,2,give,1,Dative,3,Heterogeneous,Preferred
19,3,2,throw,1,Dative,23,Heterogeneous,Dispreferred
19,3,2,show,1,Dative,15,Heterogeneous,Dispreferred
19,3,2,throw,1,Dative,24,Homogeneous,Preferred
19,3,2,rub,1,Locative,35,Heterogeneous,Preferred
19,3,2,throw,1,Dative,19,Homogeneous,Preferred
19,3,2,spray,1,Locative,37,Heterogeneous,Dispreferred
19,3,2,throw,1,Dative,20,Homogeneous,Dispreferred
19,3,2,throw,1,Dative,21,Homogeneous,Dispreferred
19,3,2,give,1,Dative,4,Heterogeneous,Preferred
19,3,2,read,1,Dative,11,Heterogeneous,Dispreferred
19,3,2,show,1,Dative,16,Heterogeneous,Dispreferred
20,4,2,rub,1,Locative,36,Heterogeneous,Preferred
20,4,2,read,1,Dative,9,Homogeneous,Preferred
20,4,2,spray,1,Locative,41,Heterogeneous,Dispreferred
20,4,2,rub,1,Locative,31,Homogeneous,Dispreferred
20,4,2,give,1,Dative,3,Heterogeneous,Dispreferred
20,4,2,rub,1,Locative,32,Homogeneous,Dispreferred
20,4,2,throw,1,Dative,23,Heterogeneous,Preferred
20,4,2,show,1,Dative,15,Heterogeneous,Preferred
20,4,2,rub,1,Locative,34,Homogeneous,Preferred
