,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
30,simultaneous,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Unrelated,Verb,chef,30,2,building,List1,1,1,{SL} The chef above the windmill is yelling,shoutingÄ is yelling,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.961,0.06,default,chefUnerg.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,negative,violin,Unacc,clownUnacc.jpeg,shrink,grow,Related,Verb,clown,31,2,instrument,List1,1,1,{SL} The clown below the violin is growing,,1629.9,459,1257.1,289.4,279.3,648.6,279.3,NA,0.7,1.918,1,default,clownUnacc.jpeg.default,2088.9,1629.9,459,1257.1,289.4,279.3,648.6,279.3,927.9
32,simultaneous,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Related,Verb,penguine,32,2,tool,List1,1,1,{SL} The penguin below the drill is bouncing,,1141,119.8,558.7,169.6,209.5,648.6,329.2,NA,0.54,1.736,NA,default,penguineUnacc.jpeg.default,1260.8,1141,119.8,558.7,169.6,209.5,648.6,329.2,977.8
33,simultaneous,dresser,Unacc,chefUnacc.jpeg,float,drown,Related,Verb,chef,33,2,funiture,List1,1,1,{SL} The chef above the dresser is drowning,,1420.4,558.7,638.6,449,79.8,468.9,199.6,NA,0.68,1.912,1,default,chefUnacc.jpeg.default,1979.1,1420.4,558.7,638.6,449,79.8,468.9,199.6,668.5
34,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Related,Verb,ballerina,34,2,instrument,List1,1,1,{SL} The ballerina above the harp is running,,1300.7,239.4,508.9,409,69.9,319.3,139.6,NA,0.84,1.034,0.04,default,ballerinaUnerg.jpeg.default,1540.1,1300.7,239.4,508.9,409,69.9,319.3,139.6,458.9
35,negative,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Unrelated,Verb,octopus,35,2,fruit,List1,1,1,{SL} The octopus below the lemon is swimming,,1051.2,299.4,488.9,239.4,179.6,568.7,1426.8,NA,0.74,1.574,0.11,default,octopusUnerg.jpeg.default,1350.6,1051.2,299.4,488.9,239.4,179.6,568.7,1426.8,1995.5
36,negative,castle,Unacc,snailUnacc.jpeg,trip,melt,Unrelated,Verb,snail,36,2,building,List1,1,1,{SL} The snail below the castle is melting,,1380.5,239.5,558.7,449,169.6,568.7,139.7,NA,0.16,3.886,0.58,default,snailUnacc.jpeg.default,1620,1380.5,239.5,558.7,449,169.6,568.7,139.7,708.4
37,simultaneous,chair,Unerg,rabitUnerg.jpeg,wink,smile,Related,Verb,rabit,37,2,funiture,List1,1,1,{SL} The rabbit above the chair is smiling,,1161,488.9,468.9,459,59.8,419.1,179.6,NA,0.46,2.955,0.11,default,rabitUnerg.jpeg.default,1649.9,1161,488.9,468.9,459,59.8,419.1,179.6,598.7
38,simultaneous,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Related,Verb,monkey,38,2,tool,List1,1,1,{SL} The monkey above the knife is sleeping,,991.4,119.7,498.9,359.2,99.7,478.9,189.6,NA,0.9,0.606,0,default,monkeyUnerg.jpeg.default,1111.1,991.4,119.7,498.9,359.2,99.7,478.9,189.6,668.5
39,simultaneous,church,Unacc,rabbitUnacc.jpeg,grow,shake,Unrelated,Verb,rabbit,39,2,building,List1,1,1,{SL} The rabbit above the church is shaking,,781.9,119.7,658.5,339.2,99.8,658.5,259.4,NA,0.54,2.711,0.8,default,rabbitUnacc.jpeg.default,901.6,781.9,119.7,658.5,339.2,99.8,658.5,259.4,917.9
40,negative,apple,Unerg,dogUnerg.jpeg,yell,bark,Related,Verb,dog,40,2,fruit,List1,1,1,{SL} The dog above the apple is barking,,1151,349.2,449,468.9,149.7,598.6,179.6,NA,0.7,0.987,0,default,dogUnerg.jpeg.default,1500.2,1151,349.2,449,468.9,149.7,598.6,179.6,778.2
41,simultaneous,piano,Unerg,cowboyUnerg.jpeg,crawl,wink,Unrelated,Verb,cowboy,41,2,instrument,List1,1,1,{SL} The cowboy above the piano is winking,,1270.7,99.8,459,468.9,119.7,538.8,209.5,NA,0.64,1.628,0.24,default,cowboyUnerg.jpeg.default,1370.5,1270.7,99.8,459,468.9,119.7,538.8,209.5,748.3
42,simultaneous,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Unrelated,Verb,penguine,42,2,fruit,List1,1,1,{SL} The penguin below the tomato is sneezing,,1071.2,189.6,468.9,279.4,129.7,498.8,508.9,NA,0.78,1.088,NA,default,penguineUnerg.jpeg.default,1260.8,1071.2,189.6,468.9,279.4,129.7,498.8,508.9,1007.7
43,negative,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Related,Verb,pirate,43,2,weapon,List1,1,1,{SL} The pirate below the gun is coughing,,971.4,1726.1,429,199.6,129.7,269.4,129.7,NA,0.7,0.987,0,default,pirateUnerg.jpeg.default,2697.5,971.4,1726.1,429,199.6,129.7,269.4,129.7,399.1
44,negative,table,Unerg,snailUnerg.jpeg,walk,crawl,Related,Verb,snail,44,2,funiture,List1,1,1,{SL} The snail below the table is crawling,,881.6,99.8,1636.3,319.3,129.7,339.2,179.6,NA,0.14,3.728,0.74,default,snailUnerg.jpeg.default,981.4,881.6,99.8,1636.3,319.3,129.7,339.2,179.6,518.8
45,negative,cannon,Unerg,clownUnerg.jpeg,cough,walk,Unrelated,Verb,clown,45,2,weapon,List1,1,1,{SL} The clown below the canon is walking,,1260.8,219.5,1107.5,578.6,119.8,429,139.7,NA,0.58,0.961,0.24,default,clownUnerg.jpeg.default,1480.3,1260.8,219.5,1107.5,578.6,119.8,429,139.7,568.7
