,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
2691,simultaneous,desk,Unacc,boyUnacc.jpeg,drown,float,Related,Verb,boy,3,4,funiture,List8,1,32,{SL} The boy below the lighthouse is floating,,1081.2,119.7,478.9,658.5,119.7,698.5,149.6,NA,0.7,1.718,0.92,reverse,boyUnacc.jpeg.reverse,1200.9,1081.2,119.7,478.9,658.5,119.7,698.5,149.6,848.1
2692,simultaneous,apple,Unerg,dogUnerg.jpeg,yell,bark,Related,Verb,dog,4,4,fruit,List8,1,32,{SL} The dog above the hammer is barking,,871.7,119.7,449,528.8,279.3,758.3,289.3,NA,0.7,0.987,0,reverse,dogUnerg.jpeg.reverse,991.4,871.7,119.7,449,528.8,279.3,758.3,289.3,1047.6
2693,negative,dresser,Unacc,chefUnacc.jpeg,float,drown,Related,Verb,chef,5,4,funiture,List8,1,32,{SL} The chef above the windmill is drowning,,1240.8,149.7,698.4,628.6,179.6,608.6,149.6,NA,0.68,1.912,1,reverse,chefUnacc.jpeg.reverse,1390.5,1240.8,149.7,698.4,628.6,179.6,608.6,149.6,758.2
2694,simultaneous,castle,Unacc,snailUnacc.jpeg,trip,melt,Unrelated,Verb,snail,6,4,building,List8,1,32,{SL} The snail below the table is melting,,911.6,99.7,688.5,1057.6,109.7,498.9,189.6,NA,0.16,3.886,0.58,reverse,snailUnacc.jpeg.reverse,1011.3,911.6,99.7,688.5,1057.6,109.7,498.9,189.6,688.5
2695,negative,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Unrelated,Verb,ballerina,7,4,weapon,List8,1,32,{SL} The ballerina above the harp is shrinking,,1420.4,109.8,1057.6,798.1,129.7,498.9,149.7,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1530.2,1420.4,109.8,1057.6,798.1,129.7,498.9,149.7,648.6
2696,simultaneous,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Related,Verb,octopus,8,4,tool,List8,1,32,{SL} The octopus below the lemon is boiling,,1011.3,189.6,678.5,458.9,89.8,538.8,199.5,NA,0.5,2.319,0.96,reverse,octopusUnacc.jpeg.reverse,1200.9,1011.3,189.6,678.5,458.9,89.8,538.8,199.5,738.3
2697,simultaneous,hammer,Unacc,dogUnacc.jpeg,sink,spin,Unrelated,Verb,dog,9,4,tool,List8,1,32,{SL} The dog above the apple is spinning,,672.1,478.9,409.1,379.1,189.6,419,119.8,NA,0.12,3.022,0.9,reverse,dogUnacc.jpeg.reverse,1151,672.1,478.9,409.1,379.1,189.6,419,119.8,538.8
2698,negative,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Unrelated,Verb,chef,10,4,building,List8,1,32,{SL} The chef above the drawer is yelling,,781.9,129.7,419,239.5,339.2,778.2,249.5,NA,0.78,0.961,0.06,reverse,chefUnerg.jpeg.reverse,911.6,781.9,129.7,419,239.5,339.2,778.2,249.5,1027.7
2699,negative,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Related,Verb,cowboy,11,4,weapon,List8,1,32,{SL} The cowboy above the piano is falling,,1230.8,99.8,538.8,439,129.7,698.4,2254.9,NA,0.84,1.114,0.98,reverse,cowboyUnacc.jpeg.reverse,1330.6,1230.8,99.8,538.8,439,129.7,698.4,2254.9,2953.3
2700,simultaneous,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Unrelated,Verb,pirate,12,4,instrument,List8,1,32,{SL} The pirate below the gun is sinking,,1819.5,828.1,818.2,528.8,89.8,448.9,269.4,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,2647.6,1819.5,828.1,818.2,528.8,89.8,448.9,269.4,718.3
2701,simultaneous,violin,Unacc,clownUnacc.jpeg,shrink,grow,Related,Verb,clown,13,4,instrument,List8,1,32,{SL} The clown below the canon is growing,,1260.8,139.7,488.8,638.6,89.8,538.8,528.8,NA,0.7,1.918,1,reverse,clownUnacc.jpeg.reverse,1400.5,1260.8,139.7,488.8,638.6,89.8,538.8,528.8,1067.6
2702,negative,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Unrelated,Verb,monkey,14,4,fruit,List8,1,32,{SL} The monkey above the knife is tripping,,831.7,139.7,558.8,498.8,159.7,439,179.6,NA,0.36,3.082,0.59,reverse,monkeyUnacc.jpeg.reverse,971.4,831.7,139.7,558.8,498.8,159.7,439,179.6,618.6
2703,negative,chair,Unerg,rabitUnerg.jpeg,wink,smile,Related,Verb,rabit,15,4,funiture,List8,1,32,{SL} The rabbit above the church is smiling,,1061.2,379.2,488.9,768.2,149.7,1127.4,109.8,NA,0.46,2.955,0.11,reverse,rabitUnerg.jpeg.reverse,1440.4,1061.2,379.2,488.9,768.2,149.7,1127.4,109.8,1237.2
2704,simultaneous,cannon,Unerg,clownUnerg.jpeg,cough,walk,Unrelated,Verb,clown,16,4,weapon,List8,1,32,{SL} The clown below the violin is walking,,1560.1,109.7,668.5,1496.6,99.8,1107.5,149.6,NA,0.58,0.961,0.24,reverse,clownUnerg.jpeg.reverse,1669.8,1560.1,109.7,668.5,1496.6,99.8,1107.5,149.6,1257.1
2705,simultaneous,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Unrelated,Verb,octopus,17,4,fruit,List8,1,32,{SL} The octopus below the spoon is swimming,,1290.7,139.7,598.6,299.3,109.8,449,219.5,NA,0.74,1.574,0.11,reverse,octopusUnerg.jpeg.reverse,1430.4,1290.7,139.7,598.6,299.3,109.8,449,219.5,668.5
2706,simultaneous,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Unrelated,Verb,boy,18,4,building,List8,1,32,{SL} The boy below the desk is yawning,,1210.9,99.8,369.1,668.5,109.7,518.9,149.6,NA,0.82,0.771,0.18,reverse,boyUnerg.jpeg.reverse,1310.7,1210.9,99.8,369.1,668.5,109.7,518.9,149.6,668.5
2707,negative,church,Unacc,rabbitUnacc.jpeg,grow,shake,Unrelated,Verb,rabbit,19,4,building,List8,1,32,{SL} The rabbit above the chair is shaking,,1081.2,199.5,369.2,508.8,109.8,718.3,109.8,NA,0.54,2.711,0.8,reverse,rabbitUnacc.jpeg.reverse,1280.7,1081.2,199.5,369.2,508.8,109.8,718.3,109.8,828.1
2708,simultaneous,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Related,Verb,pirate,20,4,weapon,List8,1,32,{SL} The pirate below the guitar is coughing,,1649.9,339.2,518.8,389.2,89.7,568.8,159.6,NA,0.7,0.987,0,reverse,pirateUnerg.jpeg.reverse,1989.1,1649.9,339.2,518.8,389.2,89.7,568.8,159.6,728.4
2709,negative,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Related,Verb,penguine,21,4,tool,List8,1,32,{SL} The penguin below the tomato is bouncing,,1171,109.7,439,359.2,109.8,967.8,199.5,NA,0.54,1.736,NA,reverse,penguineUnacc.jpeg.reverse,1280.7,1171,109.7,439,359.2,109.8,967.8,199.5,1167.3
2710,simultaneous,table,Unerg,snailUnerg.jpeg,walk,crawl,Related,Verb,snail,22,4,funiture,List8,1,32,{SL} The snail below the castle is crawling,walking,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,reverse,snailUnerg.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,negative,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Related,Verb,monkey,23,4,tool,List8,1,32,{SL} The monkey above the carrot is sleeping,,1769.6,149.7,578.7,409,169.6,429.1,119.7,NA,0.9,0.606,0,reverse,monkeyUnerg.jpeg.reverse,1919.3,1769.6,149.7,578.7,409,169.6,429.1,119.7,548.8
2712,negative,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Related,Verb,ballerina,24,4,instrument,List8,1,32,{SL} The ballerina above the ax is running,,1240.8,149.7,648.5,239.5,289.3,528.8,209.5,NA,0.84,1.034,0.04,reverse,ballerinaUnerg.jpeg.reverse,1390.5,1240.8,149.7,648.5,239.5,289.3,528.8,209.5,738.3
2713,simultaneous,desk,Unacc,boyUnacc.jpeg,shrink,float,Unrelated,Verb,boy,25,1,funiture,List8,1,32,{SL} The boy below the lighthouse is floating,,921.5,89.8,798.2,1267.1,89.8,568.7,179.6,NA,0.7,1.718,0.92,reverse,boyUnacc.jpeg.reverse,1011.3,921.5,89.8,798.2,1267.1,89.8,568.7,179.6,748.3
2714,simultaneous,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Related,Verb,rabbit,26,1,building,List8,1,32,{SL} The rabbit above the chair is shaking,,921.5,169.7,289.3,668.5,149.6,429.1,109.7,NA,0.54,2.711,0.8,reverse,rabbitUnacc.jpeg.reverse,1091.2,921.5,169.7,289.3,668.5,149.6,429.1,109.7,538.8
2715,negative,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Related,Verb,clown,27,1,weapon,List8,1,32,{SL} The clown below the violin is walking,,1290.7,139.7,419,937.9,89.8,678.5,239.4,NA,0.58,0.961,0.24,reverse,clownUnerg.jpeg.reverse,1430.4,1290.7,139.7,419,937.9,89.8,678.5,239.4,917.9
2716,negative,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Unrelated,Verb,penguine,28,1,tool,List8,1,32,{SL} The penguin below the tomato is bouncing,,1629.9,109.8,429,299.3,109.8,558.7,149.7,NA,0.54,1.736,NA,reverse,penguineUnacc.jpeg.reverse,1739.7,1629.9,109.8,429,299.3,109.8,558.7,149.7,708.4
2717,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,29,1,weapon,List8,1,32,{SL} The ballerina above the harp is shrinking,,1111.1,149.7,638.5,558.7,99.8,469,209.5,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1260.8,1111.1,149.7,638.5,558.7,99.8,469,209.5,678.5
2718,simultaneous,windmill,Unerg,chefUnerg.jpeg,bark,yell,Related,Verb,chef,30,1,building,List8,1,32,{SL} The chef above the drawer is yelling,,1290.7,189.6,618.6,698.4,249.4,538.8,229.5,NA,0.78,0.961,0.06,reverse,chefUnerg.jpeg.reverse,1480.3,1290.7,189.6,618.6,698.4,249.4,538.8,229.5,768.3
2719,negative,hammer,Unacc,dogUnacc.jpeg,trip,spin,Related,Verb,dog,31,1,tool,List8,1,32,{SL} The dog above the apple is spinning,,1151,139.7,439,538.8,199.5,389.1,89.8,NA,0.12,3.022,0.9,reverse,dogUnacc.jpeg.reverse,1290.7,1151,139.7,439,538.8,199.5,389.1,89.8,478.9
2720,negative,chair,Unerg,rabitUnerg.jpeg,swim,smile,Unrelated,Verb,rabit,32,1,funiture,List8,1,32,{SL} The rabbit above the church is smiling,,1071.2,179.6,309.3,598.6,149.7,778.2,109.8,NA,0.46,2.955,0.11,reverse,rabitUnerg.jpeg.reverse,1250.8,1071.2,179.6,309.3,598.6,149.7,778.2,109.8,888
2721,simultaneous,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,33,1,fruit,List8,1,32,{SL} The dog above the hammer is barking,,1250.8,119.7,419.1,548.7,159.7,708.3,169.7,NA,0.7,0.987,0,reverse,dogUnerg.jpeg.reverse,1370.5,1250.8,119.7,419.1,548.7,159.7,708.3,169.7,878
2722,simultaneous,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,34,1,fruit,List8,1,32,{SL} The penguin below the drill is sneezing,,1310.7,119.7,468.9,588.7,109.7,498.9,149.7,NA,0.78,1.088,NA,reverse,penguineUnerg.jpeg.reverse,1430.4,1310.7,119.7,468.9,588.7,109.7,498.9,149.7,648.6
2723,simultaneous,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Related,Verb,monkey,35,1,fruit,List8,1,32,{SL} The monkey above the knife is tripping,,771.9,668.5,429,429,109.8,518.8,159.6,NA,0.36,3.082,0.59,reverse,monkeyUnacc.jpeg.reverse,1440.4,771.9,668.5,429,429,109.8,518.8,159.6,678.4
2724,negative,sword,Unacc,cowboyUnacc.jpeg,boil,fall,Unrelated,Verb,cowboy,36,1,weapon,List8,1,32,{SL} The cowboy above the piano is falling,,1360.5,119.8,449,658.5,149.6,588.7,219.5,NA,0.84,1.114,0.98,reverse,cowboyUnacc.jpeg.reverse,1480.3,1360.5,119.8,449,658.5,149.6,588.7,219.5,808.2
2725,simultaneous,violin,Unacc,clownUnacc.jpeg,shake,grow,Unrelated,Verb,clown,37,1,instrument,List8,1,32,{SL} The clown below the canon is growing,,1330.6,109.8,528.8,498.8,119.8,508.8,209.5,NA,0.7,1.918,1,reverse,clownUnacc.jpeg.reverse,1440.4,1330.6,109.8,528.8,498.8,119.8,508.8,209.5,718.3
2726,simultaneous,gun,Unerg,pirateUnerg.jpeg,walk,cough,Unrelated,Verb,pirate,38,1,weapon,List8,1,32,{SL} The pirate below the guitar is coughing,,1081.2,119.7,528.8,399.1,79.8,648.5,169.7,NA,0.7,0.987,0,reverse,pirateUnerg.jpeg.reverse,1200.9,1081.2,119.7,528.8,399.1,79.8,648.5,169.7,818.2
2727,negative,lemon,Unerg,octopusUnerg.jpeg,run,swim,Related,Verb,octopus,39,1,fruit,List8,1,32,{SL} The octopus below the spoon is swimming,,562.4,768.2,638.6,359.1,89.8,359.2,159.7,NA,0.74,1.574,0.11,reverse,octopusUnerg.jpeg.reverse,1330.6,562.4,768.2,638.6,359.1,89.8,359.2,159.7,518.9
2728,simultaneous,table,Unerg,snailUnerg.jpeg,wink,crawl,Unrelated,Verb,snail,40,1,funiture,List8,1,32,{SL} The snail below the castle is crawling,walking,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,reverse,snailUnerg.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,negative,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Related,Verb,boy,41,1,building,List8,1,32,{SL} The boy below the desk is yawning,,1091.2,109.7,339.2,598.7,109.7,478.9,199.6,NA,0.82,0.771,0.18,reverse,boyUnerg.jpeg.reverse,1200.9,1091.2,109.7,339.2,598.7,109.7,478.9,199.6,678.5
2730,simultaneous,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Unrelated,Verb,octopus,42,1,tool,List8,1,32,{SL} The octopus below the lemon is boiling,,1031.3,149.7,768.2,488.9,69.8,439,219.5,NA,0.5,2.319,0.96,reverse,octopusUnacc.jpeg.reverse,1181,1031.3,149.7,768.2,488.9,69.8,439,219.5,658.5
2731,simultaneous,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Related,Verb,cowboy,43,1,instrument,List8,1,32,{SL} The cowboy above the sword is winking,,1669.8,129.7,359.2,369.2,299.3,498.9,199.5,NA,0.64,1.628,0.24,reverse,cowboyUnerg.jpeg.reverse,1799.5,1669.8,129.7,359.2,369.2,299.3,498.9,199.5,698.4
2732,negative,castle,Unacc,snailUnacc.jpeg,boil,melt,Related,Verb,snail,44,1,building,List8,1,32,{SL} The snail below the table is melting,,1809.5,99.8,459,518.8,239.4,528.8,309.3,NA,0.16,3.886,0.58,reverse,snailUnacc.jpeg.reverse,1909.3,1809.5,99.8,459,518.8,239.4,528.8,309.3,838.1
2733,negative,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,45,1,instrument,List8,1,32,{SL} The pirate below the gun is sinking,,1649.9,89.8,508.8,449,89.8,339.2,179.6,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,1739.7,1649.9,89.8,508.8,449,89.8,339.2,179.6,518.8
2734,negative,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Unrelated,Verb,ballerina,46,1,instrument,List8,1,32,{SL} The ballerina above the ax is running,,1490.2,99.8,518.8,399.1,79.9,478.9,169.6,NA,0.84,1.034,0.04,reverse,ballerinaUnerg.jpeg.reverse,1590,1490.2,99.8,518.8,399.1,79.9,478.9,169.6,648.5
2735,negative,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Unrelated,Verb,monkey,47,1,tool,List8,1,32,{SL} The monkey above the carrot is sleeping,,951.5,149.6,319.3,349.2,109.8,458.9,1027.7,NA,0.9,0.606,0,reverse,monkeyUnerg.jpeg.reverse,1101.1,951.5,149.6,319.3,349.2,109.8,458.9,1027.7,1486.6
2736,negative,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Unrelated,Verb,chef,48,1,funiture,List8,1,32,{SL} The chef above the windmill is drowning,,1161,209.5,419.1,638.5,129.7,578.7,179.6,NA,0.68,1.912,1,reverse,chefUnacc.jpeg.reverse,1370.5,1161,209.5,419.1,638.5,129.7,578.7,179.6,758.3
2737,negative,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Related,Verb,octopus,49,2,tool,List8,1,32,{SL} The octopus below the lemon is boiling,,1320.6,109.8,598.6,997.8,89.8,419,189.6,NA,0.5,2.319,0.96,reverse,octopusUnacc.jpeg.reverse,1430.4,1320.6,109.8,598.6,997.8,89.8,419,189.6,608.6
2738,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Unrelated,Verb,ballerina,50,2,weapon,List8,1,32,{SL} The ballerina above the harp is shrinking,,1141,129.7,628.6,429,109.8,459,109.7,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1270.7,1141,129.7,628.6,429,109.8,459,109.7,568.7
2739,negative,desk,Unacc,boyUnacc.jpeg,drown,float,Related,Verb,boy,51,2,funiture,List8,1,32,{SL} The boy below the lighthouse is floating,,1639.9,129.7,379.2,538.7,79.8,728.4,179.6,NA,0.7,1.718,0.92,reverse,boyUnacc.jpeg.reverse,1769.6,1639.9,129.7,379.2,538.7,79.8,728.4,179.6,908
2740,simultaneous,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Related,Verb,cowboy,52,2,weapon,List8,1,32,{SL} The cowboy above the piano is falling,,1949.2,129.7,568.7,399.1,119.7,578.7,179.6,NA,0.84,1.114,0.98,reverse,cowboyUnacc.jpeg.reverse,2078.9,1949.2,129.7,568.7,399.1,119.7,578.7,179.6,758.3
2741,negative,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Unrelated,Verb,pirate,53,2,instrument,List8,1,32,{SL} The pirate below the gun is sinking,beneath,1330.6,119.7,768.3,618.6,99.8,548.7,588.7,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,1450.3,1330.6,119.7,768.3,618.6,99.8,548.7,588.7,1137.4
2742,simultaneous,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Unrelated,Verb,chef,54,2,building,List8,1,32,{SL} The chef above the drawer is yelling,,771.9,219.5,528.8,498.8,119.8,429,139.7,NA,0.78,0.961,0.06,reverse,chefUnerg.jpeg.reverse,991.4,771.9,219.5,528.8,498.8,119.8,429,139.7,568.7
2743,negative,violin,Unacc,clownUnacc.jpeg,shrink,grow,Related,Verb,clown,55,2,instrument,List8,1,32,{SL} The clown below the canon is growing,beneathÄ below,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.918,1,reverse,clownUnacc.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
2744,simultaneous,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Related,Verb,penguine,56,2,tool,List8,1,32,{SL} The penguin below the tomato is bouncing,,1380.5,139.7,528.8,419,89.8,528.8,169.6,NA,0.54,1.736,NA,reverse,penguineUnacc.jpeg.reverse,1520.2,1380.5,139.7,528.8,419,89.8,528.8,169.6,698.4
2745,simultaneous,dresser,Unacc,chefUnacc.jpeg,float,drown,Related,Verb,chef,57,2,funiture,List8,1,32,{SL} The chef above the windmill is drowning,,1300.7,129.7,449,628.5,169.7,808.1,768.3,NA,0.68,1.912,1,reverse,chefUnacc.jpeg.reverse,1430.4,1300.7,129.7,449,628.5,169.7,808.1,768.3,1576.4
2746,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Related,Verb,ballerina,58,2,instrument,List8,1,32,{SL} The ballerina above the ax is running,,1021.3,89.8,518.8,259.4,359.2,538.8,179.6,NA,0.84,1.034,0.04,reverse,ballerinaUnerg.jpeg.reverse,1111.1,1021.3,89.8,518.8,259.4,359.2,538.8,179.6,718.4
2747,negative,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Unrelated,Verb,octopus,59,2,fruit,List8,1,32,{SL} The octopus below the spoon is swimming,,1061.2,79.8,608.7,558.7,89.8,508.8,109.8,NA,0.74,1.574,0.11,reverse,octopusUnerg.jpeg.reverse,1141,1061.2,79.8,608.7,558.7,89.8,508.8,109.8,618.6
2748,negative,castle,Unacc,snailUnacc.jpeg,trip,melt,Unrelated,Verb,snail,60,2,building,List8,1,32,{SL} The snail below the table is melting,,881.6,169.6,518.9,458.9,89.8,578.7,129.7,NA,0.16,3.886,0.58,reverse,snailUnacc.jpeg.reverse,1051.2,881.6,169.6,518.9,458.9,89.8,578.7,129.7,708.4
2749,simultaneous,chair,Unerg,rabitUnerg.jpeg,wink,smile,Related,Verb,rabit,61,2,funiture,List8,1,32,{SL} The rabbit above the church is smiling,,971.4,239.5,349.2,419,109.8,458.9,79.9,NA,0.46,2.955,0.11,reverse,rabitUnerg.jpeg.reverse,1210.9,971.4,239.5,349.2,419,109.8,458.9,79.9,538.8
2750,simultaneous,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Related,Verb,monkey,62,2,tool,List8,1,32,{SL} The monkey above the carrot is sleeping,,831.7,219.5,498.9,748.3,99.8,1177.3,149.7,NA,0.9,0.606,0,reverse,monkeyUnerg.jpeg.reverse,1051.2,831.7,219.5,498.9,748.3,99.8,1177.3,149.7,1327
2751,simultaneous,church,Unacc,rabbitUnacc.jpeg,grow,shake,Unrelated,Verb,rabbit,63,2,building,List8,1,32,{SL} The rabbit above the chair is shaking,,1091.2,159.6,299.3,468.9,668.5,558.8,758.2,NA,0.54,2.711,0.8,reverse,rabbitUnacc.jpeg.reverse,1250.8,1091.2,159.6,299.3,468.9,668.5,558.8,758.2,1317
2752,negative,apple,Unerg,dogUnerg.jpeg,yell,bark,Related,Verb,dog,64,2,fruit,List8,1,32,{SL} The dog above the hammer is barking,,1899.3,109.8,448.9,459,99.8,399.1,179.6,NA,0.7,0.987,0,reverse,dogUnerg.jpeg.reverse,2009.1,1899.3,109.8,448.9,459,99.8,399.1,179.6,578.7
2753,simultaneous,piano,Unerg,cowboyUnerg.jpeg,crawl,wink,Unrelated,Verb,cowboy,65,2,instrument,List8,1,32,{SL} The cowboy above the sword is winking,,2418.1,79.9,458.9,309.3,109.8,429,179.6,NA,0.64,1.628,0.24,reverse,cowboyUnerg.jpeg.reverse,2498,2418.1,79.9,458.9,309.3,109.8,429,179.6,608.6
2754,simultaneous,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Unrelated,Verb,penguine,66,2,fruit,List8,1,32,{SL} The penguin below the drill is sneezing,,1240.8,109.8,409,708.4,109.8,498.8,99.8,NA,0.78,1.088,NA,reverse,penguineUnerg.jpeg.reverse,1350.6,1240.8,109.8,409,708.4,109.8,498.8,99.8,598.6
2755,negative,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Related,Verb,pirate,67,2,weapon,List8,1,32,{SL} The pirate below the guitar is coughing,,2318.4,429,518.8,359.2,69.8,498.9,129.7,NA,0.7,0.987,0,reverse,pirateUnerg.jpeg.reverse,2747.4,2318.4,429,518.8,359.2,69.8,498.9,129.7,628.6
2756,negative,table,Unerg,snailUnerg.jpeg,walk,crawl,Related,Verb,snail,68,2,funiture,List8,1,32,{SL} The snail below the castle is crawling,walking,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,reverse,snailUnerg.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
2757,negative,cannon,Unerg,clownUnerg.jpeg,cough,walk,Unrelated,Verb,clown,69,2,weapon,List8,1,32,{SL} The clown below the violin is walking,,1550.1,109.8,648.5,1935.6,109.7,768.3,229.5,NA,0.58,0.961,0.24,reverse,clownUnerg.jpeg.reverse,1659.9,1550.1,109.8,648.5,1935.6,109.7,768.3,229.5,997.8
2758,simultaneous,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Unrelated,Verb,monkey,70,2,fruit,List8,1,32,{SL} The monkey above the knife is tripping,,1420.4,209.5,359.2,498.9,119.7,568.7,249.5,NA,0.36,3.082,0.59,reverse,monkeyUnacc.jpeg.reverse,1629.9,1420.4,209.5,359.2,498.9,119.7,568.7,249.5,818.2
2759,negative,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Unrelated,Verb,boy,71,2,building,List8,1,32,{SL} The boy below the desk is yawning,,1969.2,89.8,409,768.3,149.6,558.8,169.6,NA,0.82,0.771,0.18,reverse,boyUnerg.jpeg.reverse,2059,1969.2,89.8,409,768.3,149.6,558.8,169.6,728.4
2760,negative,hammer,Unacc,dogUnacc.jpeg,sink,spin,Unrelated,Verb,dog,72,2,tool,List8,1,32,{SL} The dog above the apple is spinning,,991.4,129.7,449,439,129.7,498.8,169.7,NA,0.12,3.022,0.9,reverse,dogUnacc.jpeg.reverse,1121.1,991.4,129.7,449,439,129.7,498.8,169.7,668.5
2761,simultaneous,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Related,Verb,boy,73,3,building,List8,1,32,{SL} The boy below the desk is yawning,,921.5,59.9,409.1,638.5,99.8,518.8,169.6,NA,0.82,0.771,0.18,reverse,boyUnerg.jpeg.reverse,981.4,921.5,59.9,409.1,638.5,99.8,518.8,169.6,688.4
2762,negative,gun,Unerg,pirateUnerg.jpeg,walk,cough,Unrelated,Verb,pirate,74,3,weapon,List8,1,32,{SL} The pirate below the guitar is coughing,,1530.2,119.7,598.6,419.1,89.8,967.8,139.7,NA,0.7,0.987,0,reverse,pirateUnerg.jpeg.reverse,1649.9,1530.2,119.7,598.6,419.1,89.8,967.8,139.7,1107.5
2763,negative,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,75,3,fruit,List8,1,32,{SL} The dog above the hammer is barking,,1530.2,119.7,349.2,449,99.7,558.8,229.5,NA,0.7,0.987,0,reverse,dogUnerg.jpeg.reverse,1649.9,1530.2,119.7,349.2,449,99.7,558.8,229.5,788.3
2764,simultaneous,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,76,3,instrument,List8,1,32,{SL} The pirate below the gun is sinking,,1610,89.8,409,538.8,119.7,399.1,159.7,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,1699.8,1610,89.8,409,538.8,119.7,399.1,159.7,558.8
2765,negative,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,77,3,weapon,List8,1,32,{SL} The ballerina above the harp is shrinking,,1679.8,119.7,658.5,369.2,69.9,429,129.7,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1799.5,1679.8,119.7,658.5,369.2,69.9,429,129.7,558.7
2766,simultaneous,lemon,Unerg,octopusUnerg.jpeg,run,swim,Related,Verb,octopus,78,3,fruit,List8,1,32,{SL} The octopus below the spoon is swimming,,1280.7,189.6,688.4,778.3,99.7,488.9,139.7,NA,0.74,1.574,0.11,reverse,octopusUnerg.jpeg.reverse,1470.3,1280.7,189.6,688.4,778.3,99.7,488.9,139.7,628.6
2767,negative,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,79,3,fruit,List8,1,32,{SL} The penguin below the drill is sneezing,,1111.1,99.8,538.8,588.6,139.7,788.2,129.7,NA,0.78,1.088,NA,reverse,penguineUnerg.jpeg.reverse,1210.9,1111.1,99.8,538.8,588.6,139.7,788.2,129.7,917.9
