"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"4262","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.guitar","","walk","Verb","cough","guitar","pirate",38,"List8",48,"{SL} The pirate below the guitar is coughing","sneezing",0.987,0.7,2215,0.98,0.141,2.079,6292,0.69,NA,NA,NA,NA,NA,NA,NA,"n150","long",12032,0,NA,"Exp1"
"4263","Related","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.spoon","","knife","Noun","swim","spoon","octopus",39,"List8",48,"{SL} The octopus below the spoon is swimming","",1.574,0.74,5116,1,0.029,2.773,900,0.48,2178,79.8,528.8,259.4,109.8,359.2,179.6,"n150","short",7344,0.11,2257.8,"Exp1"
"4264","Unrelated","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.castle","","wink","Verb","crawl","castle","snail",40,"List8",48,"{SL} The snail below the castle is crawling","",3.728,0.14,3131,1,0,3.332,10191,0,2088.2,79.8,359.2,279.4,129.7,568.7,458.9,"n150","long",22746,0.74,2168,"Exp1"
"4265","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.desk","A","chair","Noun","yawn","desk","boy",41,"List8",48,"{SL} The boy below the desk is yawning","",0.771,0.82,1333,1,0,4.522,42823,1.896,2786.6,79.8,279.4,289.3,139.7,439,858.1,"n150","short",17761,0.18,2866.4,"Exp1"
"4266","Unrelated","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.lemon","","fall","Verb","boil","lemon","octopus",42,"List8",48,"{SL} The octopus below the lemon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,2477.3,69.9,518.8,219.5,129.7,419,409.1,"n150","long",8524,0.96,2547.2,"Exp1"
"4267","Related","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.sword","B","smile","Verb","wink","sword","cowboy",43,"List8",48,"{SL} The cowboy above the sword is winking","",1.643,0.64,1494,0.92,0.522,2.89,2826,0.35,2317.7,89.8,439,638.5,89.8,399.1,259.4,"n150","short",10243,0.24,2407.5,"Exp1"
"4268","Related","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.table","","dresser","Noun","melt","table","snail",44,"List8",48,"{SL} The snail below the table is melting","",3.886,0.16,2781,0.98,0.141,5.464,10191,0,2756.7,89.8,359.2,299.3,129.7,449,109.7,"n150","long",12010,0.58,2846.5,"Exp1"
"4269","Related","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.gun","","cannon","Noun","sink","gun","pirate",45,"List8",48,"{SL} The pirate below the gun is sinking","",1.594,0.72,8579,0.9,0.687,4.605,6292,0.592,2497.3,59.8,439,249.5,159.6,299.3,319.3,"n150","short",10904,0.92,2557.1,"Exp1"
"4270","Unrelated","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.ax","A","spoon","Noun","run","ax","ballerina",46,"List8",48,"{SL} The ballerina above the ax is running","",1.034,0.84,223338,0.86,0.668,2.303,140,1.707,2437.4,79.8,698.4,219.5,99.8,349.2,129.7,"n150","short",7849,0.04,2517.2,"Exp1"
"4271","Unrelated","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.carrot","A","piano","Noun","sleep","carrot","monkey",47,"List8",48,"{SL} The monkey above the carrot is sleeping","",0.606,0.9,25606,1,0,2.197,4882,0.357,2637,79.8,379.1,279.4,79.8,409.1,129.7,"n150","long",13201,0,2716.8,"Exp1"
"4272","Unrelated","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.windmill","B","chair","Noun","drown","windmill","chef",48,"List8",48,"{SL} The chef above the windmill is drowning","chef_ chef",1.912,0.68,1415,0.93,0.55,2.303,1418,0.774,NA,NA,NA,NA,NA,NA,NA,"n150","long",12430,1,NA,"Exp1"
"4273","Related","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.lemon","","apple","Noun","boil","lemon","octopus",49,"List8",48,"{SL} The octopus below the lemon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,2198,99.7,808.2,269.4,119.7,359.2,139.7,"n150","long",8524,0.96,2297.7,"Exp1"
"4274","Unrelated","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.harp","B","float","Verb","shrink","harp","ballerina",50,"List8",48,"{SL} The ballerina above the harp is shrinking","",1.56,0.76,4085,0.96,0.388,1.386,140,1.937,2068.3,69.8,668.5,289.3,119.7,269.4,89.8,"n150","short",14170,0.92,2138.1,"Exp1"
"4275","Related","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.lighthouse","B","windmill","Noun","float","lighthouse","boy",51,"List8",48,"{SL} The boy below the lighthouse is floating","",1.718,0.7,5704,0.94,0.409,1.386,42823,1.733,2098.2,429,189.6,359.2,598.6,548.8,269.3,"n150","long",31692,0.92,2527.2,"Exp1"
"4276","Related","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.piano","A","sink","Verb","fall","piano","cowboy",52,"List8",48,"{SL} The cowboy above the piano is falling","",1.114,0.84,46059,1,0.029,3.332,2826,0.885,2198,99.7,439,289.4,129.7,528.8,159.6,"n150","long",19570,0.98,2297.7,"Exp1"
"4277","Unrelated","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.gun","","guitar","Noun","sink","gun","pirate",53,"List8",48,"{SL} The pirate below the gun is sinking","",1.594,0.72,8579,0.9,0.687,4.605,6292,0.592,2257.8,79.8,389.2,299.3,139.7,209.5,139.7,"n150","short",10904,0.92,2337.6,"Exp1"
"4278","Unrelated","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.drawer","A","sleep","Verb","yell","drawer","chef",54,"List8",48,"{SL} The chef above the drawer is yelling","",0.961,0.78,3322,0.48,2.095,1.792,1418,0.774,2816.6,89.7,289.4,289.3,99.8,389.1,129.7,"n150","long",21173,0.06,2906.3,"Exp1"
"4279","Related","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.canon","A","gun","Noun","grow","canon","clown",55,"List8",48,"{SL} The clown below the canon is growing","",1.786,0.7,24803,1,0.111,1.946,2761,0.179,2806.6,109.7,329.3,259.4,109.7,479,159.6,"n150","long",17678,1,2916.3,"Exp1"
