"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"1084","Unrelated","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","sword","Noun","bounce","drill","penguin",28,"List4",12,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,970.7,89.8,419.1,309.3,89.8,528.8,209.5,"n150","short",16254,0.56,1060.5,"Exp1"
"1085","Related","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","grow","Verb","shrink","ax","ballerina",29,"List4",12,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,871,109.7,498.9,429,189.6,568.7,239.4,"n150","short",7849,0.92,980.7,"Exp1"
"1086","Related","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","bark","Verb","yell","windmill","chef",30,"List4",12,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,910.9,129.7,419,469,89.8,638.5,199.6,"n150","long",12430,0.06,1040.6,"Exp1"
"1087","Related","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","drill","Noun","spin","hammer","dog",31,"List4",12,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,930.8,119.8,468.9,349.2,139.7,478.9,139.7,"n150","long",9533,0.9,1050.6,"Exp1"
"1088","Unrelated","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","windmill","Noun","smile","chair","rabbit",32,"List4",12,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,781.2,99.8,389.1,339.2,99.8,598.6,169.6,"n150","short",11238,0.11,881,"Exp1"
"1089","Unrelated","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","yawn","Verb","bark","apple","dog",33,"List4",12,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,950.8,79.8,399.1,349.2,209.5,449,189.6,"n150","long",8241,0,1030.6,"Exp1"
"1090","Related","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","cough","Verb","sneeze","tomato","penguin",34,"List4",12,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,861,79.8,488.9,409.1,79.8,638.5,209.6,"n150","long",8388,0.04,940.8,"Exp1"
"1091","Related","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","spin","Verb","trip","carrot","monkey",35,"List4",12,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,851,89.8,429,289.4,109.7,558.8,319.2,"n150","long",13201,0.59,940.8,"Exp1"
"1092","Unrelated","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","drill","Noun","fall","sword","cowboy",36,"List4",12,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,910.9,119.7,349.2,459,99.7,538.8,229.5,"n150","short",10243,0.98,1030.6,"Exp1"
"1093","Unrelated","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","shake","Verb","grow","violin","clown",37,"List4",12,"{SL} The clown below the violin is growing","",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,1359.9,139.6,429.1,309.3,119.7,578.7,249.4,"n150","long",8571,1,1499.5,"Exp1"
"1094","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","walk","Verb","cough","gun","pirate",38,"List4",12,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1459.6,239.5,399.1,339.2,99.8,409.1,259.4,"n150","short",10904,0,1699.1,"Exp1"
"1095","Related","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","apple","Noun","swim","lemon","octopus",39,"List4",12,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,1110.4,149.7,638.5,349.2,79.9,429,179.6,"n150","long",8524,0.11,1260.1,"Exp1"
"1096","Unrelated","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","wink","Verb","crawl","table","snail",40,"List4",12,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,1060.5,109.8,409.1,319.2,99.8,578.7,169.6,"n150","long",12010,0.74,1170.3,"Exp1"
"1097","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","windmill","Noun","yawn","lighthouse","boy",41,"List4",12,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,1100.5,89.7,319.3,678.5,89.8,858,239.5,"n150","long",31692,0.18,1190.2,"Exp1"
"1098","Unrelated","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","fall","Verb","boil","spoon","octopus",42,"List4",12,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,910.9,149.6,588.7,558.7,69.9,578.7,179.6,"n150","short",7344,0.96,1060.5,"Exp1"
"1099","Related","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","smile","Verb","wink","piano","cowboy",43,"List4",12,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,1070.5,129.7,439,389.1,79.9,608.6,199.5,"n150","long",19570,0.24,1200.2,"Exp1"
"1100","Related","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","church","Noun","melt","castle","snail",44,"List4",12,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,990.7,109.8,429,339.2,79.8,798.2,189.6,"n150","long",22746,0.58,1100.5,"Exp1"
"1101","Related","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","piano","Noun","sink","guitar","pirate",45,"List4",12,"{SL} The pirate below the guitar is sinking","",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,1778.9,69.9,369.1,399.1,89.8,658.5,89.8,"n150","long",12032,0.92,1848.8,"Exp1"
"1102","Unrelated","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","church","Noun","run","harp","ballerina",46,"List4",12,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,910.9,139.7,628.5,399.1,129.7,439,239.5,"n150","short",14170,0.04,1050.6,"Exp1"
"1103","Unrelated","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","castle","Noun","sleep","knife","monkey",47,"List4",12,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,781.2,89.8,439,369.1,79.9,558.7,119.7,"n150","long",8773,0,871,"Exp1"
"1104","Unrelated","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","hammer","Noun","drown","drawer","chef",48,"List4",12,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,1110.4,99.8,488.9,488.9,129.7,858,269.4,"n150","long",21173,1,1210.2,"Exp1"
"1105","Related","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","knife","Noun","boil","spoon","octopus",49,"List4",12,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,1070.5,99.8,788.2,558.7,109.8,558.7,189.6,"n150","short",7344,0.96,1170.3,"Exp1"
"1106","Unrelated","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","float","Verb","shrink","ax","ballerina",50,"List4",12,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,920.9,89.8,618.6,468.9,199.5,598.7,149.6,"n150","short",7849,0.92,1010.7,"Exp1"
"1107","Related","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","chair","Noun","float","desk","boy",51,"List4",12,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,990.7,99.8,349.2,628.6,439,528.8,229.4,"n150","short",17761,0.92,1090.5,"Exp1"
"1108","Related","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","sink","Verb","fall","sword","cowboy",52,"List4",12,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,1080.5,69.8,429.1,249.4,129.7,528.8,239.5,"n150","short",10243,0.98,1150.3,"Exp1"
"1109","Unrelated","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","gun","Noun","sink","guitar","pirate",53,"List4",12,"{SL} The pirate below the guitar is sinking","",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,950.8,199.5,309.3,369.2,89.8,728.3,149.7,"n150","long",12032,0.92,1150.3,"Exp1"
"1110","Unrelated","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","sleep","Verb","yell","windmill","chef",54,"List4",12,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,1000.7,109.7,409.1,459,89.8,648.5,209.5,"n150","long",12430,0.06,1110.4,"Exp1"
"1111","Related","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","harp","Noun","grow","violin","clown",55,"List4",12,"{SL} The clown below the violin is growing","",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,990.7,169.6,528.8,528.8,79.8,648.6,279.3,"n150","long",8571,1,1160.3,"Exp1"
"1112","Related","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","shake","Verb","bounce","drill","penguin",56,"List4",12,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,751.2,89.8,508.9,548.7,129.7,548.8,209.5,"n150","short",16254,0.56,841,"Exp1"
"1113","Related","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","float","Verb","drown","drawer","chef",57,"List4",12,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,1359.9,119.7,458.9,548.8,109.8,698.4,189.5,"n150","long",21173,1,1479.6,"Exp1"
"1114","Related","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","swim","Verb","run","harp","ballerina",58,"List4",12,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,900.9,89.8,828.1,399.1,89.8,409.1,259.4,"n150","short",14170,0.04,990.7,"Exp1"
"1115","Unrelated","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","cannon","Noun","swim","lemon","octopus",59,"List4",12,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,841,169.7,598.6,419,89.8,508.9,169.6,"n150","long",8524,0.11,1010.7,"Exp1"
"1116","Unrelated","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","knife","Noun","melt","castle","snail",60,"List4",12,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,990.7,189.6,458.9,409.1,79.8,658.5,189.6,"n150","long",22746,0.58,1180.3,"Exp1"
"1117","Related","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","wink","Verb","smile","chair","rabbit",61,"List4",12,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,1110.4,159.7,808.1,488.9,99.8,868,129.7,"n150","short",11238,0.11,1270.1,"Exp1"
"1118","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","yawn","Verb","sleep","knife","monkey",62,"List4",12,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,920.9,89.8,658.5,468.9,79.8,459,129.7,"n150","long",8773,0,1010.7,"Exp1"
"1119","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","grow","Verb","shake","church","rabbit",63,"List4",12,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,811.1,89.8,478.9,429,209.6,548.7,139.7,"n150","short",34595,0.8,900.9,"Exp1"
"1120","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","lemon","Noun","bark","apple","dog",64,"List4",12,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,950.8,89.8,458.9,399.1,179.6,498.9,129.7,"n150","long",8241,0,1040.6,"Exp1"
"1121","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","crawl","Verb","wink","piano","cowboy",65,"List4",12,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,940.8,119.7,548.8,329.2,89.8,688.5,199.5,"n150","long",19570,0.24,1060.5,"Exp1"
"1122","Unrelated","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","run","Verb","sneeze","tomato","penguin",66,"List4",12,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,1000.7,239.4,349.2,379.2,99.8,658.5,189.5,"n150","long",8388,0.04,1240.1,"Exp1"
"1123","Related","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","cannon","Noun","cough","gun","pirate",67,"List4",12,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1250.1,79.8,449,369.2,89.8,518.8,159.6,"n150","short",10904,0,1329.9,"Exp1"
"1124","Related","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","dresser","Noun","crawl","table","snail",68,"List4",12,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,1020.6,89.8,419.1,828.1,99.8,1556.4,189.6,"n150","long",12010,0.74,1110.4,"Exp1"
"1125","Unrelated","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","lemon","Noun","walk","canon","clown",69,"List4",12,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,1030.6,119.7,449,289.4,89.8,608.6,169.6,"n150","long",17678,0.24,1150.3,"Exp1"
"1126","Unrelated","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","melt","Verb","trip","carrot","monkey",70,"List4",12,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,711.3,109.8,478.9,798.2,89.8,668.5,229.4,"n150","long",13201,0.59,821.1,"Exp1"
"1127","Unrelated","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","apple","Noun","yawn","lighthouse","boy",71,"List4",12,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,1090.5,99.7,329.3,568.7,69.8,878.1,199.5,"n150","long",31692,0.18,1190.2,"Exp1"
"1128","Unrelated","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","dresser","Noun","spin","hammer","dog",72,"List4",12,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,781.2,89.8,439,429,209.5,528.8,189.6,"n150","long",9533,0.9,871,"Exp1"
"1129","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","sleep","Verb","yawn","lighthouse","boy",73,"List4",12,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,881,99.7,319.3,628.6,89.8,708.4,139.6,"n150","long",31692,0.18,980.7,"Exp1"
"1130","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","guitar","Noun","cough","gun","pirate",74,"List4",12,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1300,59.9,319.2,488.9,99.8,409.1,189.5,"n150","short",10904,0,1359.9,"Exp1"
"1131","Unrelated","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","lighthouse","Noun","bark","apple","dog",75,"List4",12,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,771.2,89.8,429,389.1,219.5,488.9,179.6,"n150","long",8241,0,861,"Exp1"
"1132","Related","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","fall","Verb","sink","guitar","pirate",76,"List4",12,"{SL} The pirate below the guitar is sinking","",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,881,149.6,429,369.2,89.8,718.4,169.6,"n150","long",12032,0.92,1030.6,"Exp1"
"1133","Related","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","sword","Noun","shrink","ax","ballerina",77,"List4",12,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,1050.6,89.8,568.7,478.9,199.5,538.8,109.8,"n150","short",7849,0.92,1140.4,"Exp1"
"1134","Related","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","run","Verb","swim","lemon","octopus",78,"List4",12,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,861,129.7,528.8,359.2,99.8,508.8,159.6,"n150","long",8524,0.11,990.7,"Exp1"
"1135","Related","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","carrot","Noun","sneeze","tomato","penguin",79,"List4",12,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,651.5,289.3,329.3,359.2,89.7,618.6,159.7,"n150","long",8388,0.04,940.8,"Exp1"
"1136","Unrelated","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","bounce","Verb","drown","drawer","chef",80,"List4",12,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,1020.6,109.8,399.1,458.9,89.8,698.4,199.6,"n150","long",21173,1,1130.4,"Exp1"
"1137","Related","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","boil","Verb","melt","castle","snail",81,"List4",12,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,861,129.7,409.1,389.1,79.8,628.6,179.6,"n150","long",22746,0.58,990.7,"Exp1"
"1138","Unrelated","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","yell","Verb","sleep","knife","monkey",82,"List4",12,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,721.3,109.8,439,329.2,79.8,738.4,139.6,"n150","long",8773,0,831.1,"Exp1"
"1139","Related","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","crawl","Verb","walk","canon","clown",83,"List4",12,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,831.1,179.6,458.9,319.3,89.8,738.3,349.2,"n150","long",17678,0.24,1010.7,"Exp1"
"1140","Related","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","lighthouse","Noun","yell","windmill","chef",84,"List4",12,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,890.9,99.8,389.1,498.9,99.8,608.6,189.5,"n150","long",12430,0.06,990.7,"Exp1"
"1141","Unrelated","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","sneeze","Verb","run","harp","ballerina",85,"List4",12,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,841,99.8,628.6,349.2,139.7,1047.6,159.6,"n150","short",14170,0.04,940.8,"Exp1"
"1142","Unrelated","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","violin","Noun","float","desk","boy",86,"List4",12,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,791.2,289.3,249.4,917.9,977.8,528.8,339.3,"n150","short",17761,0.92,1080.5,"Exp1"
"1143","Unrelated","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","drown","Verb","bounce","drill","penguin",87,"List4",12,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,771.2,89.8,429,399.1,109.8,528.8,209.5,"n150","short",16254,0.56,861,"Exp1"
"1144","Unrelated","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","tomato","Noun","crawl","table","snail",88,"List4",12,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,1030.6,69.9,419,518.8,89.8,638.6,149.6,"n150","long",12010,0.74,1100.5,"Exp1"
"1145","Related","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","trip","Verb","spin","hammer","dog",89,"List4",12,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,661.5,79.8,389.1,379.1,129.7,518.8,149.7,"n150","long",9533,0.9,741.3,"Exp1"
"1146","Unrelated","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","desk","Noun","grow","violin","clown",90,"List4",12,"{SL} The clown below the violin is growing","",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,881,109.7,419.1,349.2,89.8,638.5,299.3,"n150","long",8571,1,990.7,"Exp1"
"1147","Related","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","castle","Noun","shake","church","rabbit",91,"List4",12,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,1339.9,119.7,429.1,698.4,89.8,578.7,119.7,"n150","short",34595,0.8,1459.6,"Exp1"
"1148","Related","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","guitar","Noun","wink","piano","cowboy",92,"List4",12,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,950.8,129.7,668.5,249.4,109.8,658.5,199.5,"n150","long",19570,0.24,1080.5,"Exp1"
"1149","Unrelated","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","ax","Noun","boil","spoon","octopus",93,"List4",12,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,801.1,209.6,638.5,339.2,89.8,598.7,199.5,"n150","short",7344,0.96,1010.7,"Exp1"
"1150","Related","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","tomato","Noun","trip","carrot","monkey",94,"List4",12,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,871,79.8,409.1,409,89.8,868.1,219.5,"n150","long",13201,0.59,950.8,"Exp1"
"1151","Unrelated","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","boil","Verb","fall","sword","cowboy",95,"List4",12,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,1230.2,89.8,478.9,319.2,129.7,528.8,159.7,"n150","short",10243,0.98,1320,"Exp1"
"1152","Unrelated","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","swim","Verb","smile","chair","rabbit",96,"List4",12,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,801.1,129.7,488.9,399.1,109.8,778.2,239.5,"n150","short",11238,0.11,930.8,"Exp1"
"1153","Unrelated","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.lighthouse","B","shrink","Verb","float","lighthouse","boy",1,"List5",13,"{SL} The boy below the lighthouse is floating","",1.718,0.7,5704,0.94,0.409,1.386,42823,1.733,1210.2,109.8,468.9,538.8,89.8,588.6,159.7,"n150","long",31692,0.92,1320,"Exp1"
"1154","Related","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.chair","","bounce","Verb","shake","chair","rabbit",2,"List5",13,"{SL} The rabbit above the chair is shaking","",2.711,0.54,5292,1,0,4.92,5751,1.086,950.8,149.7,518.8,339.2,109.8,538.7,89.8,"n150","short",11238,0.8,1100.5,"Exp1"
"1155","Related","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.violin","B","harp","Noun","walk","violin","clown",3,"List5",13,"{SL} The clown below the violin is walking","",2.218,0.58,33093,0.82,0.858,1.946,2761,1.896,1040.6,119.7,359.2,848.1,179.6,648.5,229.5,"n150","long",8571,0.24,1160.3,"Exp1"
"1156","Unrelated","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.tomato","","table","Noun","bounce","tomato","penguin",4,"List5",13,"{SL} The penguin below the tomato is bouncing","",1.645,0.54,4243,0.98,0.141,2.079,2222,0.303,1000.7,119.7,648.5,359.2,79.8,598.7,169.6,"n150","long",8388,0.56,1120.4,"Exp1"
"1157","Related","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.harp","B","grow","Verb","shrink","harp","ballerina",5,"List5",13,"{SL} The ballerina above the harp is shrinking","repair",1.56,0.76,4085,0.96,0.388,1.386,140,1.937,NA,NA,NA,NA,NA,NA,NA,"n150","short",14170,0.92,NA,"Exp1"
"1158","Related","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.drawer","A","bark","Verb","yell","drawer","chef",6,"List5",13,"{SL} The chef above the drawer is yelling","",0.961,0.78,3322,0.48,2.095,1.792,1418,0.774,1160.3,129.7,488.9,628.6,169.6,468.9,179.6,"n150","long",21173,0.06,1290,"Exp1"
"1159","Related","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.apple","A","lemon","Noun","spin","apple","dog",7,"List5",13,"{SL} The dog above the apple is spinning","",3.022,0.12,10683,1,0.029,3.434,58314,0.995,881,119.7,449,538.7,269.4,439,149.7,"n150","long",8241,0.9,1000.7,"Exp1"
"1160","Unrelated","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.church","","harp","Noun","smile","church","rabbit",8,"List5",13,"{SL} The rabbit above the church is smiling","repair",2.748,0.46,12276,0.96,0.282,5.215,5751,1.061,NA,NA,NA,NA,NA,NA,NA,"n150","short",34595,0.11,NA,"Exp1"
"1161","Unrelated","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.hammer","B","yawn","Verb","bark","hammer","dog",9,"List5",13,"{SL} The dog above the hammer is barking","",0.987,0.7,2441,1,0.057,2.485,58314,0.629,881,119.7,359.2,638.5,79.8,598.7,389.1,"n150","long",9533,0,1000.7,"Exp1"
"1162","Related","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.drill","","cough","Verb","sneeze","drill","penguin",10,"List5",13,"{SL} The penguin below the drill is sneezing","",1.088,0.78,540,0.63,1.704,2.197,2222,0.689,920.9,99.7,658.5,389.2,109.7,578.7,538.8,"n150","short",16254,0.04,1020.6,"Exp1"
"1163","Related","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.knife","B","spin","Verb","trip","knife","monkey",11,"List5",13,"{SL} The monkey above the knife is tripping","",3.082,0.36,28399,1,0.057,3.807,4882,0.815,950.8,99.8,558.7,459,99.7,528.8,159.7,"n150","long",8773,0.59,1050.6,"Exp1"
"1164","Unrelated","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.piano","A","carrot","Noun","fall","piano","cowboy",12,"List5",13,"{SL} The cowboy above the piano is falling","",1.114,0.84,46059,1,0.029,3.332,2826,0.885,900.9,658.5,478.9,578.7,79.8,568.7,189.6,"n150","long",19570,0.98,1559.4,"Exp1"
