"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"98" 5 205 5 3 "give" 0 1 0 "Dative" 1 "dispreferred" "Heterogenous"
"99" 5 206 5 3 "put" 1 1 0 "Locative" 27 "dispreferred" "Homogenous"
"100" 5 209 5 3 "put" 1 1 0 "Locative" 28 "dispreferred" "Homogenous"
"101" 5 212 5 3 "put" 1 1 1 "Locative" 29 "preferred" "Homogenous"
"102" 5 214 5 3 "throw" 0 1 1 "Dative" 20 "preferred" "Heterogenous"
"103" 5 215 5 3 "put" 1 1 1 "Locative" 30 "preferred" "Homogenous"
"104" 5 218 5 3 "rub" 0 1 1 "Locative" 34 "preferred" "Heterogenous"
"105" 5 219 5 3 "show" 1 1 0 "Dative" 16 "dispreferred" "Homogenous"
"106" 5 222 5 3 "show" 1 0 0 "Dative" 15 "dispreferred" "Homogenous"
"107" 5 227 5 3 "spray" 0 1 0 "Locative" 40 "dispreferred" "Heterogenous"
"108" 5 228 5 3 "show" 1 0 1 "Dative" 18 "preferred" "Homogenous"
"109" 5 229 5 3 "spray" 1 1 0 "Locative" 41 "dispreferred" "Homogenous"
"110" 5 231 5 3 "read" 0 1 0 "Dative" 10 "dispreferred" "Heterogenous"
"111" 5 232 5 3 "spray" 1 1 0 "Locative" 37 "dispreferred" "Homogenous"
"112" 5 234 5 3 "give" 0 1 0 "Dative" 2 "dispreferred" "Heterogenous"
"113" 5 235 5 3 "spray" 1 0 1 "Locative" 39 "preferred" "Homogenous"
"114" 5 237 5 3 "throw" 0 1 1 "Dative" 21 "preferred" "Heterogenous"
"115" 5 238 5 3 "spray" 1 1 1 "Locative" 38 "preferred" "Homogenous"
"116" 5 240 5 3 "show" 0 1 1 "Dative" 14 "preferred" "Heterogenous"
"117" 6 241 6 3 "give" 1 0 0 "Dative" 3 "dispreferred" "Homogenous"
"118" 6 243 6 3 "put" 0 1 0 "Locative" 25 "dispreferred" "Heterogenous"
"119" 6 244 6 3 "give" 1 1 0 "Dative" 4 "dispreferred" "Homogenous"
"120" 6 246 6 3 "rub" 0 1 1 "Locative" 33 "preferred" "Heterogenous"
"121" 6 247 6 3 "give" 1 1 1 "Dative" 5 "preferred" "Homogenous"
