"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"5511",26,444,50,1,"ATTEND","go",1,325,"rel"
"5518",26,13,1050,1,"CURVED","novel",1,326,"un"
"5531",18,331,1050,1,"FITNESS","healthy",1,326,"rel"
"5532",26,170,1050,1,"WHITE","black",1,326,"rel"
"5545",5,809,1050,1,"POCKET","there",1,327,"un"
"5556",26,384,1050,1,"WET","dry",1,327,"rel"
"5568",18,161,1050,1,"DIFFICULTY","trouble",1,328,"rel"
"5580",26,448,50,1,"INTERVIEW","beat",1,329,"un"
"5596",26,285,1050,1,"ATTENDANCE","present",1,329,"rel"
"5610",47,369,50,1,"KEYBOARD","pool",1,330,"un"
"5616",26,374,1050,1,"ENVY","greed",1,330,"rel"
"5641",33,171,50,1,"CLARIFY","tape",1,331,"un"
"5662",33,301,50,1,"ANTIQUE","furniture",1,331,"rel"
"5689",26,225,1050,1,"INTERIOR","inferior",1,332,"rel"
"5690",26,336,1050,1,"HOUND","blood",1,332,"rel"
"5691",36,114,1050,1,"TERRIBLE","two",1,332,"rel"
"5704",18,392,1050,1,"COMFORTABLE","wrong",1,333,"un"
"5709",18,242,1050,1,"INDIRECT","doctor",1,333,"un"
"5715",36,142,1050,1,"POTATO","salad",0,333,"rel"
"5725",18,342,1050,1,"TOE","foot",1,333,"rel"
"5726",18,221,1050,1,"TENSION","stress",1,333,"rel"
"5740",18,206,1050,1,"CRUNCH","ball",1,334,"un"
"5772",18,200,1050,1,"CHOCOLATE","leather",1,335,"un"
"5800",47,567,1050,1,"REMOVER","disease",1,336,"un"
"5801",5,298,50,1,"ABSURD","satin",1,336,"un"
"5802",26,137,1050,1,"GRAVEL","chair",1,336,"un"
"5823",45,768,1050,1,"TRANSPLANT","heart",1,336,"rel"
"5847",18,210,1050,1,"ANTIQUE","furniture",1,337,"rel"
"5854",26,230,1050,1,"RIGHTEOUSNESS","good",1,337,"rel"
"5869",14,11,1050,1,"EXIST","room",1,338,"un"
"5876",15,206,50,1,"KEYBOARD","pool",1,338,"un"
"5928",18,375,1050,1,"CURIOUS","george",1,339,"rel"
"5929",18,487,50,1,"OUTDOORS","indoors",1,339,"rel"
"5930",26,33,1050,1,"BLEND","mix",1,339,"rel"
"5946",18,525,50,1,"OPPOSITE","monk",1,340,"un"
"5954",44,435,50,1,"YARN","weave",1,340,"rel"
"5965",2,392,1050,1,"LONDON","england",1,340,"rel"
"5966",18,241,1050,1,"HURT","pain",1,340,"rel"
"5967",36,141,1050,1,"SONG","sing",1,340,"rel"
"5990",30,578,50,1,"SOCK","beast",1,341,"un"
"5991",44,647,50,1,"PUNCTUATION","kitchen",1,341,"un"
"5999",42,195,1050,1,"TRUCE","even",1,341,"rel"
"6009",16,74,1050,1,"WEEKEND","fun",1,341,"rel"
"6021",18,298,1050,1,"NEPHEW","broken",1,342,"un"
"6022",18,371,1050,1,"ICEBERG","game",1,342,"un"
"6050",26,429,50,1,"UPSTREAM","water",1,342,"rel"
"6062",26,1,1050,1,"MESSAGE","note",1,342,"rel"
"6102",2,150,1050,1,"ITCH","scratch",1,343,"rel"
"6104",26,452,50,1,"ABOVE","below",1,343,"rel"
"6114",26,91,1050,1,"FARMER","sleep",1,344,"un"
"6133",26,438,50,1,"BREAKFAST","cereal",1,344,"rel"
"6147",2,166,1050,1,"GHOUL","ghost",1,344,"rel"
"6148",18,496,50,1,"REFLECTION","mirror",1,344,"rel"
"6149",26,301,1050,1,"CAR","auto",1,344,"rel"
"6174",18,139,1050,1,"WOOD","log",1,345,"rel"
"6192",18,682,50,1,"ARROW","bow",1,345,"rel"
"6193",36,107,1050,1,"LIVER","onion",1,345,"rel"
"6208",44,789,50,1,"THINK","bucket",1,346,"un"
"6218",15,61,50,1,"PEN","weak",1,346,"un"
"6219",18,134,1050,1,"REFUSE","evil",1,346,"un"
"6247",18,284,1050,1,"SCENERY","view",1,346,"rel"
"6248",18,346,1050,1,"OZONE","layer",1,346,"rel"
"6249",18,617,50,1,"HORRIBLE","terrible",1,346,"rel"
"6269",18,325,1050,1,"RACK","tart",1,347,"un"
"6270",26,440,50,1,"SPINE","lace",1,347,"un"
"6286",18,155,1050,1,"TECHNIQUE","touch",1,347,"un"
"6298",18,522,50,1,"CREATOR","builder",1,347,"rel"
"6312",26,187,1050,1,"FURTHER","away",1,347,"rel"
