,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
3915,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,74,2,weapon,List7,270,{SL} The ballerina above the harp is shrinking,,521.8,99.7,708.4,209.6,69.8,598.6,299.4,p300,Unrelated,Verb,621.5,987.8,898,1885.8,0.96,0.388,1.386,short,14170,4085,0.76,1.56,140,1.937,0.92
3048,chair,Unerg,rabitUnerg.jpeg,swim,smile,Vunrel,rabit,72,3,funiture,List5,261,{SL} The rabbit above the church is smiling,,531.7,89.8,239.5,419,79.9,538.7,329.3,p300,Unrelated,Verb,621.5,738.4,868,1606.4,0.96,0.282,5.215,short,34595,12276,0.46,2.955,5751,1.061,0.11
4151,carrot,Unacc,monkeyUnacc.jpeg,spoon,trip,Nrel,monkey,22,3,fruit,List7,273,{SL} The monkey above the knife is tripping,,531.7,89.8,498.9,229.5,99.8,439,309.3,p300,Related,Noun,621.5,828.2,748.3,1576.5,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
3925,castle,Unacc,snailUnacc.jpeg,tomato,melt,Nunrel,snail,84,2,building,List7,270,{SL} The snail below the table is melting,,511.8,119.7,528.8,249.5,99.7,598.7,189.5,p300,Unrelated,Noun,631.5,878,788.2,1666.2,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
4225,hammer,Unacc,dogUnacc.jpeg,lighthouse,spin,Nunrel,dog,96,2,tool,List7,273,{SL} The dog above the apple is spinning,,531.7,99.8,578.7,189.6,139.7,498.8,189.6,p300,Unrelated,Noun,631.5,908,688.4,1596.4,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
3912,knife,Unerg,monkeyUnerg.jpeg,piano,sleep,Nunrel,monkey,71,1,tool,List7,270,{SL} The monkey above the carrot is sleeping,,551.7,79.8,568.7,229.5,89.8,528.8,249.4,p300,Unrelated,Noun,631.5,888,778.2,1666.2,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
4195,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,66,1,tool,List7,273,{SL} The octopus below the lemon is boiling,,491.8,149.7,648.5,319.3,379.1,449,269.4,p300,Unrelated,Verb,641.5,1346.9,718.4,2065.3,0.96,0.31,2.773,long,8524,3837,0.5,2.319,900,0.656,0.96
2473,piano,Unerg,cowboyUnerg.jpeg,drill,wink,Nunrel,cowboy,73,4,instrument,List5,253,{SL} The cowboy above the sword is winking,,531.7,109.8,389.1,219.5,79.8,319.3,99.8,p300,Unrelated,Noun,641.5,688.4,419.1,1107.5,0.92,0.522,2.89,short,10243,1494,0.64,1.628,2826,0.35,0.24
3064,cannon,Unerg,clownUnerg.jpeg,cough,walk,Vunrel,clown,88,4,weapon,List5,261,{SL} The clown below the violin is walking,,531.7,109.8,379.1,229.5,119.7,488.9,139.7,p300,Unrelated,Verb,641.5,728.3,628.6,1356.9,0.82,0.858,1.946,long,8571,33093,0.58,2.218,2761,1.896,0.24
4186,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,57,1,fruit,List7,273,{SL} The dog above the hammer is barking,,551.7,89.8,598.6,209.6,89.8,548.7,259.4,p300,Unrelated,Verb,641.5,898,808.1,1706.1,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
3063,chair,Unerg,rabitUnerg.jpeg,castle,smile,Nrel,rabit,87,4,funiture,List5,261,{SL} The rabbit above the church is smiling,,561.7,79.8,239.5,339.2,99.8,389.1,79.8,p300,Related,Noun,641.5,678.5,468.9,1147.4,0.96,0.282,5.215,short,34595,12276,0.46,2.955,5751,1.061,0.11
3071,knife,Unerg,monkeyUnerg.jpeg,tomato,sleep,Nrel,monkey,95,4,tool,List5,261,{SL} The monkey above the carrot is sleeping,,581.6,59.9,429,269.4,69.9,429,119.7,p300,Related,Noun,641.5,768.3,548.7,1317,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
3926,chair,Unerg,rabitUnerg.jpeg,wink,smile,Vrel,rabit,85,2,funiture,List7,270,{SL} The rabbit above the church is smiling,,541.7,109.8,518.8,209.5,119.7,508.9,179.6,p300,Related,Verb,651.5,848,688.5,1536.5,0.96,0.282,5.215,short,34595,12276,0.46,2.955,5751,1.061,0.11
4203,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,74,2,weapon,List7,273,{SL} The ballerina above the harp is shrinking,,541.7,109.8,698.4,209.5,69.9,598.6,299.3,p300,Unrelated,Verb,651.5,977.8,897.9,1875.7,0.96,0.388,1.386,short,14170,4085,0.76,1.56,140,1.937,0.92
4213,castle,Unacc,snailUnacc.jpeg,tomato,melt,Nunrel,snail,84,2,building,List7,273,{SL} The snail below the table is melting,,541.7,109.8,538.7,249.5,89.8,608.6,179.6,p300,Unrelated,Noun,651.5,878,788.2,1666.2,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
3905,table,Unerg,snailUnerg.jpeg,wink,crawl,Vunrel,snail,64,1,funiture,List7,270,{SL} The snail below the castle is crawling,,551.7,99.8,558.7,249.4,79.9,638.5,249.4,p300,Unrelated,Verb,651.5,888,887.9,1775.9,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
4200,knife,Unerg,monkeyUnerg.jpeg,piano,sleep,Nunrel,monkey,71,1,tool,List7,273,{SL} The monkey above the carrot is sleeping,,571.7,79.8,568.7,229.5,79.8,538.8,249.4,p300,Unrelated,Noun,651.5,878,788.2,1666.2,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
3052,apple,Unerg,dogUnerg.jpeg,yell,bark,Vrel,dog,76,4,fruit,List5,261,{SL} The dog above the hammer is barking,,581.6,69.9,279.3,269.4,79.8,329.3,79.8,p300,Related,Verb,651.5,628.5,409.1,1037.6,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
3020,table,Unerg,snailUnerg.jpeg,church,crawl,Nrel,snail,44,2,funiture,List5,261,{SL} The snail below the castle is crawling,,362.1,299.4,478.9,419,99.8,608.6,738.3,p300,Related,Noun,661.5,997.7,1346.9,2344.6,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
3860,church,Unacc,rabbitUnacc.jpeg,desk,shake,Nrel,rabbit,19,3,building,List7,270,{SL} The rabbit above the chair is shaking,,561.7,99.8,488.8,279.4,109.8,468.9,179.6,p300,Related,Noun,661.5,878,648.5,1526.5,1,0,4.92,short,11238,5292,0.54,2.711,5751,1.086,0.8
3917,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,76,2,weapon,List7,270,{SL} The cowboy above the piano is falling,,561.7,99.8,528.7,439.1,79.8,588.6,199.6,p300,Related,Verb,661.5,1047.6,788.2,1835.8,1,0.029,3.332,long,19570,46059,0.84,1.114,2826,0.885,0.98
3921,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,80,2,tool,List7,270,{SL} The penguin below the tomato is bouncing,,561.7,99.8,548.7,269.4,89.8,588.6,289.4,p300,Related,Verb,661.5,907.9,878,1785.9,0.98,0.141,2.708,long,8388,4243,0.54,1.736,2222,0.303,0.56
4205,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,76,2,weapon,List7,273,{SL} The cowboy above the piano is falling,,561.7,99.8,448.9,518.9,89.7,578.7,269.4,p300,Related,Verb,661.5,1057.5,848.1,1905.6,1,0.029,3.332,long,19570,46059,0.84,1.114,2826,0.885,0.98
3856,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Vunrel,penguine,15,3,tool,List7,270,{SL} The penguin below the tomato is bouncing,,571.7,89.8,518.8,269.4,79.8,429,389.1,p300,Unrelated,Verb,661.5,868,818.1,1686.1,0.98,0.141,2.708,long,8388,4243,0.54,1.736,2222,0.303,0.56
3888,knife,Unerg,monkeyUnerg.jpeg,tomato,sleep,Nrel,monkey,47,4,tool,List7,270,{SL} The monkey above the carrot is sleeping,,581.6,79.9,548.7,239.5,109.7,578.7,189.6,p300,Related,Noun,661.5,897.9,768.3,1666.2,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
3923,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,82,2,instrument,List7,270,{SL} The ballerina above the ax is running,,561.7,109.7,608.6,289.4,149.6,429.1,319.2,p300,Related,Verb,671.4,1047.6,748.3,1795.9,0.86,0.668,2.303,short,7849,223338,0.84,1.034,140,1.707,0.04
3928,church,Unacc,rabbitUnacc.jpeg,grow,shake,Vunrel,rabbit,87,2,building,List7,270,{SL} The rabbit above the chair is shaking,,561.7,109.7,498.9,209.5,109.8,498.8,259.4,p300,Unrelated,Verb,671.4,818.2,758.2,1576.4,1,0,4.92,short,11238,5292,0.54,2.711,5751,1.086,0.8
3062,carrot,Unacc,monkeyUnacc.jpeg,castle,trip,Nunrel,monkey,86,4,fruit,List5,261,{SL} The monkey above the knife is tripping,,581.6,89.8,349.2,299.4,79.8,508.8,498.9,p300,Unrelated,Noun,671.4,728.4,1007.7,1736.1,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
3070,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,94,4,funiture,List5,261,{SL} The snail below the castle is crawling,,591.6,79.8,319.3,359.2,69.8,578.7,439,p300,Related,Verb,671.4,748.3,1017.7,1766,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
3853,windmill,Unerg,chefUnerg.jpeg,table,yell,Nrel,chef,12,3,building,List7,270,{SL} The chef above the drawer is yelling,,591.6,79.8,449,638.6,129.7,668.4,399.1,p300,Related,Noun,671.4,1217.3,1067.5,2284.8,0.48,2.095,1.792,long,21173,3322,0.78,0.961,1418,0.774,0.06
3931,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Vunrel,penguine,90,2,fruit,List7,270,{SL} The penguin below the drill is sneezing,,591.6,79.8,528.8,229.5,129.7,468.9,199.6,p300,Unrelated,Verb,671.4,888,668.5,1556.5,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
5471,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,94,4,funiture,List5,287,{SL} The snail below the castle is crawling,beneath,591.6,79.8,439,269.4,89.8,588.7,199.5,p300,Related,Verb,671.4,798.2,788.2,1586.4,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
3847,lemon,Unerg,octopusUnerg.jpeg,run,swim,Vrel,octopus,6,3,fruit,List7,270,{SL} The octopus below the spoon is swimming,,521.8,159.6,528.8,299.3,89.8,638.6,149.6,p300,Related,Verb,681.4,917.9,788.2,1706.1,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
4135,lemon,Unerg,octopusUnerg.jpeg,run,swim,Vrel,octopus,6,3,fruit,List7,273,{SL} The octopus below the spoon is swimming,,531.7,149.7,528.8,299.3,99.8,558.7,219.5,p300,Related,Verb,681.4,927.9,778.2,1706.1,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
