,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,X,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
1810,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Vunrel,monkey,82,3,tool,List4,120,{SL} The monkey above the knife is sleeping,,831.1,688.4,558.7,449,109.8,448.9,129.7,NA,0,Unrelated,Verb,1519.5,1117.5,578.6,1696.1,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
1811,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Vrel,clown,83,3,weapon,List4,120,{SL} The clown below the canon is walking,,950.8,578.7,648.5,179.6,468.9,808.2,209.5,NA,0,Related,Verb,1529.5,1297,1017.7,2314.7,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
1812,windmill,Unerg,chefUnerg.jpeg,lighthouse,yell,Nrel,chef,84,3,building,List4,120,{SL} The chef above the windmill is yelling,,1649.2,99.8,538.8,678.4,149.7,688.4,349.2,NA,0,Related,Noun,1749,1366.9,1037.6,2404.5,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
1813,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Vunrel,ballerina,85,3,instrument,List4,120,{SL} The ballerina above the harp is running,,1100.5,688.4,858,289.4,179.6,349.2,399.1,NA,0,Unrelated,Verb,1788.9,1327,748.3,2075.3,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
1814,desk,Unacc,boyUnacc.jpeg,violin,float,Nunrel,boy,86,3,funiture,List4,120,{SL} The boy below the desk is floating,,1170.3,289.3,409.1,359.2,608.6,628.6,109.7,NA,0,Unrelated,Noun,1459.6,1376.9,738.3,2115.2,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
1815,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Vunrel,penguine,87,3,tool,List4,120,{SL} The penguin below the drill is bouncing,,930.8,199.6,598.6,469,139.6,449,139.7,NA,0,Unrelated,Verb,1130.4,1207.2,588.7,1795.9,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
1816,table,Unerg,snailUnerg.jpeg,tomato,crawl,Nunrel,snail,88,3,funiture,List4,120,{SL} The snail below the table is crawling,,701.4,439,698.4,239.4,588.7,878,269.4,NA,0,Unrelated,Noun,1140.4,1526.5,1147.4,2673.9,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
1817,hammer,Unacc,dogUnacc.jpeg,trip,spin,Vrel,dog,89,3,tool,List4,120,{SL} The dog above the hammer is spinning,,950.8,179.6,608.6,698.4,279.4,648.5,99.8,NA,0,Related,Verb,1130.4,1586.4,748.3,2334.7,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
1818,violin,Unacc,clownUnacc.jpeg,desk,grow,Nunrel,clown,90,3,instrument,List4,120,{SL} The clown below the violin is growing,,801.1,379.2,608.6,429,109.8,868,468.9,NA,0,Unrelated,Noun,1180.3,1147.4,1336.9,2484.3,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
1819,church,Unacc,rabbitUnacc.jpeg,castle,shake,Nrel,rabbit,91,3,building,List4,120,{SL} The rabbit above the church is shaking,,910.9,1057.6,778.2,558.7,149.7,688.4,329.3,NA,0,Related,Noun,1968.5,1486.6,1017.7,2504.3,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
1820,piano,Unerg,cowboyUnerg.jpeg,guitar,wink,Nrel,cowboy,92,3,instrument,List4,120,{SL} The cowboy above the piano is winking,,871,329.2,598.7,698.4,139.7,708.4,229.4,NA,0,Related,Noun,1200.2,1436.8,937.8,2374.6,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
1821,spoon,Unacc,octopusUnacc.jpeg,ax,boil,Nunrel,octopus,93,3,tool,List4,120,{SL} The octopus below the spoon is boiling,,751.2,1007.8,798.1,219.5,389.2,478.9,219.5,NA,0,Unrelated,Noun,1759,1406.8,698.4,2105.2,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
1822,carrot,Unacc,monkeyUnacc.jpeg,tomato,trip,Nrel,monkey,94,3,fruit,List4,120,{SL} The monkey above the carrot is tripping,,831.1,229.4,638.6,538.8,219.5,668.5,429,NA,0,Related,Noun,1060.5,1396.9,1097.5,2494.4,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
1823,sword,Unacc,cowboyUnacc.jpeg,boil,fall,Vunrel,cowboy,95,3,weapon,List4,120,{SL} The cowboy above the sword is falling,,990.7,459,498.8,618.6,319.3,778.2,219.5,NA,0,Unrelated,Verb,1449.7,1436.7,997.7,2434.4,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
1824,chair,Unerg,rabitUnerg.jpeg,swim,smile,Vunrel,rabit,96,3,funiture,List4,120,{SL} The rabbit above the chair is smiling,,821.1,299.3,588.7,279.3,159.7,848,548.8,NA,0,Unrelated,Verb,1120.4,1027.7,1396.8,2424.5,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
1825,desk,Unacc,boyUnacc.jpeg,shrink,float,Vunrel,boy,1,1,funiture,List1,121,{SL} The boy below the desk is floating,,2138.1,149.7,309.3,369.1,109.8,379.1,179.6,NA,0,Unrelated,Verb,2287.8,788.2,558.7,1346.9,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
1826,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Vrel,rabbit,2,1,building,List1,121,{SL} The rabbit above the church is shaking,,930.8,578.7,488.9,389.1,89.8,369.2,139.7,NA,0,Related,Verb,1509.5,967.8,508.9,1476.7,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
1827,cannon,Unerg,clownUnerg.jpeg,gun,walk,Nrel,clown,3,1,weapon,List1,121,{SL} The clown below the canon is walking,,1290,119.8,429,379.1,69.9,458.9,179.6,NA,0,Related,Noun,1409.8,878,638.5,1516.5,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
1828,drill,Unacc,penguineUnacc.jpeg,sword,bounce,Nunrel,penguine,4,1,tool,List1,121,{SL} The penguin below the drill is bouncing,,1838.8,79.8,578.7,309.3,149.6,339.3,149.6,NA,0,Unrelated,Noun,1918.6,1037.6,488.9,1526.5,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
1829,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Vrel,ballerina,5,1,weapon,List1,121,{SL} The ballerina above the ax is shrinking,,1220.2,99.8,588.6,449,139.7,329.2,259.4,NA,0,Related,Verb,1320,1177.3,588.6,1765.9,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
1830,windmill,Unerg,chefUnerg.jpeg,bark,yell,Vrel,chef,6,1,building,List1,121,{SL} The chef above the windmill is yelling,yawning,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Verb,NA,NA,NA,NA,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
1831,hammer,Unacc,dogUnacc.jpeg,drill,spin,Nrel,dog,7,1,tool,List1,121,{SL} The dog above the hammer is spinning,,1329.9,119.8,319.2,459,169.6,1736.1,199.5,NA,0,Related,Noun,1449.7,947.8,1935.6,2883.4,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
1832,chair,Unerg,rabitUnerg.jpeg,windmill,smile,Nunrel,rabit,8,1,funiture,List1,121,{SL} The rabbit above the chair is smiling,,1479.6,99.8,379.1,369.2,139.6,1257.2,189.6,NA,0,Unrelated,Noun,1579.4,887.9,1446.8,2334.7,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
1833,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,9,1,fruit,List1,121,{SL} The dog above the apple is barking,,910.9,89.8,339.2,359.2,199.5,349.2,149.7,NA,0,Unrelated,Verb,1000.7,897.9,498.9,1396.8,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
1834,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Vrel,penguine,10,1,fruit,List1,121,{SL} The penguin below the tomato is sneezing,,1060.5,109.8,468.9,389.1,99.8,828.1,219.5,NA,0,Related,Verb,1170.3,957.8,1047.6,2005.4,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
1835,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,11,1,fruit,List1,121,{SL} The monkey above the carrot is tripping,,1280,129.8,518.8,179.6,229.4,319.3,419.1,NA,0,Related,Verb,1409.8,927.8,738.4,1666.2,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
1836,sword,Unacc,cowboyUnacc.jpeg,drill,fall,Nunrel,cowboy,12,1,weapon,List1,121,{SL} The cowboy above the sword is falling,,1589.3,109.8,369.2,538.7,79.8,449,129.7,NA,0,Unrelated,Noun,1699.1,987.7,578.7,1566.4,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
1837,violin,Unacc,clownUnacc.jpeg,shake,grow,Vunrel,clown,13,1,instrument,List1,121,{SL} The clown below the violin is growing,,1190.2,79.9,907.9,488.9,209.5,528.8,159.7,NA,0,Unrelated,Verb,1270.1,1606.3,688.5,2294.8,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
1838,gun,Unerg,pirateUnerg.jpeg,walk,cough,Vunrel,pirate,14,1,weapon,List1,121,{SL} The pirate below the gun is coughing,,1838.8,119.7,478.9,429,89.8,618.6,449,NA,0,Unrelated,Verb,1958.5,997.7,1067.6,2065.3,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
1839,lemon,Unerg,octopusUnerg.jpeg,apple,swim,Nrel,octopus,15,1,fruit,List1,121,{SL} The octopus below the lemon is swimming,,1060.5,109.8,628.6,319.2,89.8,399.1,99.8,NA,0,Related,Noun,1170.3,1037.6,498.9,1536.5,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
1840,table,Unerg,snailUnerg.jpeg,wink,crawl,Vunrel,snail,16,1,funiture,List1,121,{SL} The snail below the table is crawling,desk_ table,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Verb,NA,NA,NA,NA,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
1841,lighthouse,Unerg,boyUnerg.jpeg,windmill,yawn,Nrel,boy,17,1,building,List1,121,{SL} The boy below the lighthouse is yawning,windmill,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
1842,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,18,1,tool,List1,121,{SL} The octopus below the spoon is boiling,previous,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Verb,NA,NA,NA,NA,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
1843,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Vrel,cowboy,19,1,instrument,List1,121,{SL} The cowboy above the piano is winking,,1389.8,79.8,498.9,658.5,89.8,508.8,159.7,NA,0,Related,Verb,1469.6,1247.2,668.5,1915.7,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
1844,castle,Unacc,snailUnacc.jpeg,church,melt,Nrel,snail,20,1,building,List1,121,{SL} The snail below the castle is melting,church,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
1845,guitar,Unacc,pirateUnacc.jpeg,piano,sink,Nrel,pirate,21,1,instrument,List1,121,{SL} The pirate below the guitar is sinking,previous,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
1846,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,22,1,instrument,List1,121,{SL} The ballerina above the harp is running,,1339.9,109.8,748.3,588.6,139.7,339.2,179.6,NA,0,Unrelated,Noun,1449.7,1476.6,518.8,1995.4,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
1847,knife,Unerg,monkeyUnerg.jpeg,castle,sleep,Nunrel,monkey,23,1,tool,List1,121,{SL} The monkey above the knife is sleeping,,1110.4,119.8,409,768.3,568.7,478.9,129.7,NA,0,Unrelated,Noun,1230.2,1746,608.6,2354.6,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
1848,dresser,Unacc,chefUnacc.jpeg,hammer,drown,Nunrel,chef,24,1,funiture,List1,121,{SL} The chef above the dresser is drowning,si_ is d,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Noun,NA,NA,NA,NA,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
1849,spoon,Unacc,octopusUnacc.jpeg,knife,boil,Nrel,octopus,25,2,tool,List1,121,{SL} The octopus below the spoon is boiling,,1150.3,99.8,957.8,389.2,159.6,498.9,209.5,NA,0,Related,Noun,1250.1,1506.6,708.4,2215,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
1850,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,26,2,weapon,List1,121,{SL} The ballerina above the ax is shrinking,,1180.3,89.8,738.3,319.3,169.6,369.1,189.6,NA,0,Unrelated,Verb,1270.1,1227.2,558.7,1785.9,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
1851,desk,Unacc,boyUnacc.jpeg,chair,float,Nrel,boy,27,2,funiture,List1,121,{SL} The boy below the desk is floating,drower,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
1852,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,28,2,weapon,List1,121,{SL} The cowboy above the sword is falling,,1060.5,119.8,518.8,748.3,937.9,498.8,888,NA,0,Related,Verb,1180.3,2205,1386.8,3591.8,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
1853,guitar,Unacc,pirateUnacc.jpeg,gun,sink,Nunrel,pirate,29,2,instrument,List1,121,{SL} The pirate below the guitar is sinking,drowning,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Noun,NA,NA,NA,NA,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
1854,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Vunrel,chef,30,2,building,List1,121,{SL} The chef above the windmill is yelling,,1200.2,139.7,369.2,508.8,249.4,488.9,209.6,NA,0,Unrelated,Verb,1339.9,1127.4,698.5,1825.9,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
1855,violin,Unacc,clownUnacc.jpeg,harp,grow,Nrel,clown,31,2,instrument,List1,121,{SL} The clown below the violin is growing,,1429.7,279.4,688.4,1207.3,149.6,538.8,179.6,NA,0,Related,Noun,1709.1,2045.3,718.4,2763.7,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
1856,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,32,2,tool,List1,121,{SL} The penguin below the drill is bouncing,,1349.9,149.6,528.8,548.8,119.7,409.1,209.5,NA,0,Related,Verb,1499.5,1197.3,618.6,1815.9,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
1857,dresser,Unacc,chefUnacc.jpeg,float,drown,Vrel,chef,33,2,funiture,List1,121,{SL} The chef above the dresser is drowning,,1050.6,69.8,369.2,429,139.7,608.6,179.6,NA,0,Related,Verb,1120.4,937.9,788.2,1726.1,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
1858,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,34,2,instrument,List1,121,{SL} The ballerina above the harp is running,,1379.8,109.8,518.8,399.1,119.7,319.3,249.4,NA,0,Related,Verb,1489.6,1037.6,568.7,1606.3,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
1859,lemon,Unerg,octopusUnerg.jpeg,cannon,swim,Nunrel,octopus,35,2,fruit,List1,121,{SL} The octopus below the lemon is swimming,,1808.8,109.8,668.5,179.6,149.6,558.8,119.7,NA,0,Unrelated,Noun,1918.6,997.7,678.5,1676.2,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
1860,castle,Unacc,snailUnacc.jpeg,knife,melt,Nunrel,snail,36,2,building,List1,121,{SL} The snail below the castle is melting,,1030.6,179.6,429,469,169.6,708.4,169.6,NA,0,Unrelated,Noun,1210.2,1067.6,878,1945.6,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
1861,chair,Unerg,rabitUnerg.jpeg,wink,smile,Vrel,rabit,37,2,funiture,List1,121,{SL} The rabbit above the chair is smiling,,1000.7,658.5,608.6,439,119.7,409.1,189.6,NA,0,Related,Verb,1659.2,1167.3,598.7,1766,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
1862,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Vrel,monkey,38,2,tool,List1,121,{SL} The monkey above the knife is sleeping,,970.7,109.8,468.9,359.2,119.7,409.1,389.1,NA,0,Related,Verb,1080.5,947.8,798.2,1746,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
1863,church,Unacc,rabbitUnacc.jpeg,grow,shake,Vunrel,rabbit,39,2,building,List1,121,{SL} The rabbit above the church is shaking,,1629.3,119.7,468.9,389.1,99.8,439,179.6,NA,0,Unrelated,Verb,1749,957.8,618.6,1576.4,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
1864,apple,Unerg,dogUnerg.jpeg,lemon,bark,Nrel,dog,40,2,fruit,List1,121,{SL} The dog above the apple is barking,,1130.4,109.7,319.3,439,159.6,548.8,159.6,NA,0,Related,Noun,1240.1,917.9,708.4,1626.3,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
1865,piano,Unerg,cowboyUnerg.jpeg,crawl,wink,Vunrel,cowboy,41,2,instrument,List1,121,{SL} The cowboy above the piano is winking,,1230.2,109.7,449,808.2,289.3,588.7,209.5,NA,0,Unrelated,Verb,1339.9,1546.5,798.2,2344.7,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
1866,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Vunrel,penguine,42,2,fruit,List1,121,{SL} The penguin below the tomato is sneezing,,1050.6,89.8,498.8,528.8,718.4,828.1,249.4,NA,0,Unrelated,Verb,1140.4,1746,1077.5,2823.5,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
1867,gun,Unerg,pirateUnerg.jpeg,cannon,cough,Nrel,pirate,43,2,weapon,List1,121,{SL} The pirate below the gun is coughing,,2188,359.2,578.7,399,109.8,319.3,139.7,NA,0,Related,Noun,2547.2,1087.5,459,1546.5,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
1868,table,Unerg,snailUnerg.jpeg,dresser,crawl,Nrel,snail,44,2,funiture,List1,121,{SL} The snail below the table is crawling,,861,99.8,409,259.5,249.4,897.9,748.3,NA,0,Related,Noun,960.8,917.9,1646.2,2564.1,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
1869,cannon,Unerg,clownUnerg.jpeg,lemon,walk,Nunrel,clown,45,2,weapon,List1,121,{SL} The clown below the canon is walking,,1339.9,69.9,518.8,219.5,808.1,538.8,139.7,NA,0,Unrelated,Noun,1409.8,1546.4,678.5,2224.9,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
1870,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Vunrel,monkey,46,2,fruit,List1,121,{SL} The monkey above the carrot is tripping,,1549.4,99.8,389.1,309.3,99.8,488.9,209.5,NA,0,Unrelated,Verb,1649.2,798.2,698.4,1496.6,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
1871,lighthouse,Unerg,boyUnerg.jpeg,apple,yawn,Nunrel,boy,47,2,building,List1,121,{SL} The boy below the lighthouse is yawning,,1479.6,129.7,409.1,299.3,249.4,648.5,159.7,NA,0,Unrelated,Noun,1609.3,957.8,808.2,1766,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
1872,hammer,Unacc,dogUnacc.jpeg,dresser,spin,Nunrel,dog,48,2,tool,List1,121,{SL} The dog above the hammer is spinning,,1010.7,109.7,379.1,1157.4,229.5,658.5,429,NA,0,Unrelated,Noun,1120.4,1766,1087.5,2853.5,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
1873,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Vrel,boy,49,3,building,List1,121,{SL} The boy below the lighthouse is yawning,,1060.5,129.7,279.4,289.4,349.2,668.4,159.7,NA,0,Related,Verb,1190.2,918,828.1,1746.1,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
1874,gun,Unerg,pirateUnerg.jpeg,guitar,cough,Nunrel,pirate,50,3,weapon,List1,121,{SL} The pirate below the gun is coughing,,1419.7,189.6,339.2,329.3,129.7,299.3,139.7,NA,0,Unrelated,Noun,1609.3,798.2,439,1237.2,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
1875,apple,Unerg,dogUnerg.jpeg,lighthouse,bark,Nunrel,dog,51,3,fruit,List1,121,{SL} The dog above the apple is barking,,940.8,149.7,279.3,349.2,159.7,349.2,149.7,NA,0,Unrelated,Noun,1090.5,788.2,498.9,1287.1,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
1876,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Vrel,pirate,52,3,instrument,List1,121,{SL} The pirate below the guitar is sinking,,1449.7,89.8,399,289.4,89.8,498.9,219.5,NA,0,Related,Verb,1539.5,778.2,718.4,1496.6,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
1877,ax,Unacc,ballerinaUnacc.jpeg,sword,shrink,Nrel,ballerina,53,3,weapon,List1,121,{SL} The ballerina above the ax is shrinking,,980.7,79.8,618.6,349.2,129.7,359.2,189.6,NA,0,Related,Noun,1060.5,1097.5,548.8,1646.3,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
1878,lemon,Unerg,octopusUnerg.jpeg,run,swim,Vrel,octopus,54,3,fruit,List1,121,{SL} The octopus below the lemon is swimming,,1080.5,119.7,578.7,379.1,99.8,508.9,229.4,NA,0,Related,Verb,1200.2,1057.6,738.3,1795.9,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
1879,tomato,Unerg,penguineUnerg.jpeg,carrot,sneeze,Nrel,penguine,55,3,fruit,List1,121,{SL} The penguin below the tomato is sneezing,,1768.9,129.7,449,518.8,89.8,858.1,169.6,NA,0,Related,Noun,1898.6,1057.6,1027.7,2085.3,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
1880,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Vunrel,chef,56,3,funiture,List1,121,{SL} The chef above the dresser is drowning,,1329.9,109.8,339.2,389.1,159.7,598.6,199.6,NA,0,Unrelated,Verb,1439.7,888,798.2,1686.2,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
1881,castle,Unacc,snailUnacc.jpeg,boil,melt,Vrel,snail,57,3,building,List1,121,{SL} The snail below the castle is melting,,1130.4,109.7,429.1,349.2,79.8,588.6,269.4,NA,0,Related,Verb,1240.1,858.1,858,1716.1,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
1882,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Vunrel,monkey,58,3,tool,List1,121,{SL} The monkey above the knife is sleeping,,970.7,109.8,399.1,389.1,119.7,439,249.5,NA,0,Unrelated,Verb,1080.5,907.9,688.5,1596.4,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
1883,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Vrel,clown,59,3,weapon,List1,121,{SL} The clown below the canon is walking,cl..,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Verb,NA,NA,NA,NA,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
1884,windmill,Unerg,chefUnerg.jpeg,lighthouse,yell,Nrel,chef,60,3,building,List1,121,{SL} The chef above the windmill is yelling,lighthouse,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
1885,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Vunrel,ballerina,61,3,instrument,List1,121,{SL} The ballerina above the harp is running,,1250.1,119.7,758.3,379.2,119.7,379.1,249.5,NA,0,Unrelated,Verb,1369.8,1257.2,628.6,1885.8,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
1886,desk,Unacc,boyUnacc.jpeg,violin,float,Nunrel,boy,62,3,funiture,List1,121,{SL} The boy below the desk is floating,drower,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Noun,NA,NA,NA,NA,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
1887,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Vunrel,penguine,63,3,tool,List1,121,{SL} The penguin below the drill is bouncing,,1409.8,89.7,548.8,349.2,169.6,419.1,159.6,NA,0,Unrelated,Verb,1499.5,1067.6,578.7,1646.3,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
1888,table,Unerg,snailUnerg.jpeg,tomato,crawl,Nunrel,snail,64,3,funiture,List1,121,{SL} The snail below the table is crawling,,1270.1,119.7,429,229.5,419,608.7,379.1,NA,0,Unrelated,Noun,1389.8,1077.5,987.8,2065.3,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
1889,hammer,Unacc,dogUnacc.jpeg,trip,spin,Vrel,dog,65,3,tool,List1,121,{SL} The dog above the hammer is spinning,,821.1,119.7,329.3,399.1,179.6,349.2,179.6,NA,0,Related,Verb,940.8,908,528.8,1436.8,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
1890,violin,Unacc,clownUnacc.jpeg,desk,grow,Nunrel,clown,66,3,instrument,List1,121,{SL} The clown below the violin is growing,,1559.4,89.8,538.8,389.1,129.7,518.8,149.7,NA,0,Unrelated,Noun,1649.2,1057.6,668.5,1726.1,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
1891,church,Unacc,rabbitUnacc.jpeg,castle,shake,Nrel,rabbit,67,3,building,List1,121,{SL} The rabbit above the church is shaking,,1589.3,119.8,498.8,389.2,139.6,449,359.2,NA,0,Related,Noun,1709.1,1027.6,808.2,1835.8,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
1892,piano,Unerg,cowboyUnerg.jpeg,guitar,wink,Nrel,cowboy,68,3,instrument,List1,121,{SL} The cowboy above the piano is winking,,1679.1,109.8,399.1,608.6,79.8,568.7,179.6,NA,0,Related,Noun,1788.9,1087.5,748.3,1835.8,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
