Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
55	52.gif	0	Same	Dative	Prime_B
55	25.gif	1	Same	Transitive	Prime_A
55	66.gif	1	Same	Locative	Prime_A
55	45.gif	1	Same	Dative	Prime_B
55	30.gif	0	Same	Transitive	Prime_B
55	114.gif	1	Same	Locative	Prime_A
55	T6.gif	0	Same	Dative	Prime_A
55	37.gif	1	Same	Transitive	Prime_A
55	51.gif	0	Same	Dative	Prime_A
55	84.gif	0	Same	Dative	Prime_B
55	32.gif	1	Same	Transitive	Prime_A
55	34.gif	1	Same	Dative	Prime_A
55	40.gif	0	Same	Transitive	Prime_B
55	74.gif	1	Same	Locative	Prime_B
55	68.gif	1	Same	Dative	Prime_A
55	78.gif	1	Same	Locative	Prime_A
55	82.gif	1	Same	Dative	Prime_B
55	81.gif	0	Different	Locative	Prime_B
55	43.gif	1	Different	Dative	Prime_A
55	108.gif	1	Different	Locative	Prime_A
55	T11.gif	1	Different	Dative	Prime_B
55	1.gif	0	Different	Transitive	Prime_A
55	112.gif	1	Different	Locative	Prime_B
55	44.gif	1	Different	Dative	Prime_B
55	38.gif	1	Different	Transitive	Prime_A
55	T4.gif	1	Different	Dative	Prime_A
56	26.gif	0	Different	Dative	Prime_B
56	21.gif	1	Different	Locative	Prime_B
56	22.gif	1	Different	Transitive	Prime_A
56	90.gif	0	Different	Dative	Prime_A
56	11.gif	0	Different	Locative	Prime_A
56	19.gif	1	Different	Transitive	Prime_A
56	33.gif	0	Different	Dative	Prime_B
56	76.gif	1	Different	Locative	Prime_A
56	6.gif	0	Different	Transitive	Prime_B
56	T1.gif	1	Different	Dative	Prime_A
56	29.gif	1	Different	Transitive	Prime_B
56	51.gif	0	Same	Dative	Prime_B
56	37.gif	1	Same	Transitive	Prime_B
56	114.gif	1	Same	Locative	Prime_B
56	30.gif	1	Same	Transitive	Prime_A
56	45.gif	1	Same	Dative	Prime_A
56	25.gif	1	Same	Transitive	Prime_B
56	52.gif	0	Same	Dative	Prime_A
56	28.gif	1	Same	Transitive	Prime_A
56	82.gif	1	Same	Dative	Prime_A
56	68.gif	0	Same	Dative	Prime_B
56	74.gif	1	Same	Locative	Prime_A
56	34.gif	0	Same	Dative	Prime_B
56	104.gif	1	Same	Locative	Prime_A
56	32.gif	1	Same	Transitive	Prime_B
56	84.gif	0	Same	Dative	Prime_A
56	70.gif	0	Same	Locative	Prime_B
56	36.gif	1	Same	Transitive	Prime_B
56	T4.gif	1	Different	Dative	Prime_B
56	38.gif	1	Different	Transitive	Prime_B
56	44.gif	0	Different	Dative	Prime_A
56	1.gif	1	Different	Transitive	Prime_B
56	T11.gif	1	Different	Dative	Prime_A
56	108.gif	1	Different	Locative	Prime_B
56	93.gif	1	Different	Transitive	Prime_A
56	43.gif	0	Different	Dative	Prime_B
56	81.gif	1	Different	Locative	Prime_A
57	29.gif	1	Same	Transitive	Prime_A
57	T1.gif	1	Same	Dative	Prime_B
57	6.gif	1	Same	Transitive	Prime_A
57	33.gif	1	Same	Dative	Prime_A
57	19.gif	1	Same	Transitive	Prime_B
57	22.gif	0	Same	Transitive	Prime_B
57	21.gif	1	Same	Locative	Prime_A
57	26.gif	1	Same	Dative	Prime_A
57	52.gif	0	Different	Dative	Prime_B
57	25.gif	1	Different	Transitive	Prime_A
57	30.gif	0	Different	Transitive	Prime_B
57	114.gif	1	Different	Locative	Prime_A
57	T6.gif	1	Different	Dative	Prime_A
57	37.gif	1	Different	Transitive	Prime_A
57	15.gif	0	Different	Locative	Prime_B
57	51.gif	0	Different	Dative	Prime_A
57	84.gif	1	Different	Dative	Prime_B
57	32.gif	1	Different	Transitive	Prime_A
57	34.gif	1	Different	Dative	Prime_A
57	40.gif	0	Different	Transitive	Prime_B
57	68.gif	1	Different	Dative	Prime_A
57	39.gif	0	Different	Transitive	Prime_B
57	82.gif	1	Different	Dative	Prime_B
57	57.gif	1	Same	Transitive	Prime_B
57	81.gif	1	Same	Locative	Prime_B
57	43.gif	1	Same	Dative	Prime_A
57	93.gif	1	Same	Transitive	Prime_B
57	108.gif	1	Same	Locative	Prime_A
57	T11.gif	1	Same	Dative	Prime_B
57	1.gif	0	Same	Transitive	Prime_A
57	44.gif	1	Same	Dative	Prime_B
57	38.gif	1	Same	Transitive	Prime_A
57	T4.gif	1	Same	Dative	Prime_A
58	26.gif	0	Same	Dative	Prime_A
58	22.gif	1	Same	Transitive	Prime_B
58	90.gif	0	Same	Dative	Prime_B
58	11.gif	0	Same	Locative	Prime_B
58	19.gif	1	Same	Transitive	Prime_B
58	33.gif	0	Same	Dative	Prime_A
58	6.gif	1	Same	Transitive	Prime_A
58	29.gif	1	Same	Transitive	Prime_A
58	51.gif	0	Different	Dative	Prime_A
58	37.gif	1	Different	Transitive	Prime_A
58	T6.gif	0	Different	Dative	Prime_A
58	114.gif	1	Different	Locative	Prime_A
58	30.gif	0	Different	Transitive	Prime_B
58	45.gif	0	Different	Dative	Prime_B
58	25.gif	1	Different	Transitive	Prime_A
58	52.gif	1	Different	Dative	Prime_B
58	13.gif	1	Different	Locative	Prime_B
58	28.gif	0	Different	Transitive	Prime_B
58	82.gif	1	Different	Dative	Prime_B
58	78.gif	1	Different	Locative	Prime_A
58	39.gif	0	Different	Transitive	Prime_B
58	68.gif	1	Different	Dative	Prime_A
58	40.gif	0	Different	Transitive	Prime_B
58	34.gif	1	Different	Dative	Prime_A
58	104.gif	0	Different	Locative	Prime_B
58	32.gif	0	Different	Transitive	Prime_A
58	84.gif	0	Different	Dative	Prime_B
58	70.gif	0	Different	Locative	Prime_A
58	36.gif	0	Different	Transitive	Prime_A
58	109.gif	1	Same	Locative	Prime_A
58	44.gif	0	Same	Dative	Prime_B
58	112.gif	0	Same	Locative	Prime_B
58	1.gif	0	Same	Transitive	Prime_A
58	T11.gif	1	Same	Dative	Prime_B
58	108.gif	1	Same	Locative	Prime_A
58	93.gif	1	Same	Transitive	Prime_B
58	43.gif	1	Same	Dative	Prime_A
58	81.gif	0	Same	Locative	Prime_B
58	57.gif	0	Same	Transitive	Prime_B
59	33.gif	1	Different	Dative	Prime_B
59	19.gif	1	Different	Transitive	Prime_A
59	90.gif	1	Different	Dative	Prime_A
