Subject	Item	CardTyp	PrimeType	TargBinary	VerbClass
9	45	Diff	Prime_A	1	Dative
9	46	Same	Prime_B	1	Transitive
10	1	Same	Prime_A	1	Transitive
10	3	Diff	Prime_A	1	Dative
10	4	Same	Prime_B	0	Transitive
10	5	Same	Prime_B	0	Locative
10	6	Diff	Prime_B	0	Dative
10	7	Diff	Prime_A	1	Transitive
10	9	Same	Prime_A	0	Dative
10	10	Diff	Prime_B	0	Transitive
10	12	Same	Prime_B	0	Dative
10	13	Same	Prime_A	1	Transitive
10	15	Diff	Prime_A	1	Dative
10	16	Same	Prime_B	0	Transitive
10	17	Same	Prime_B	0	Locative
10	18	Diff	Prime_B	1	Dative
10	19	Diff	Prime_A	1	Transitive
10	21	Same	Prime_A	1	Dative
10	22	Diff	Prime_B	0	Transitive
10	26	Diff	Prime_A	1	Locative
10	27	Diff	Prime_A	1	Dative
10	28	Same	Prime_B	1	Transitive
10	29	Same	Prime_B	1	Locative
10	30	Diff	Prime_B	1	Dative
10	32	Same	Prime_A	1	Locative
10	33	Same	Prime_A	1	Dative
10	34	Diff	Prime_B	1	Transitive
10	35	Diff	Prime_B	0	Locative
10	36	Same	Prime_B	1	Dative
10	37	Same	Prime_A	0	Transitive
10	40	Same	Prime_B	0	Transitive
10	42	Diff	Prime_B	0	Dative
10	43	Diff	Prime_A	1	Transitive
10	44	Same	Prime_A	1	Locative
10	45	Same	Prime_A	0	Dative
10	46	Diff	Prime_B	1	Transitive
11	1	Same	Prime_A	1	Transitive
11	2	Diff	Prime_A	1	Locative
11	3	Diff	Prime_A	1	Dative
11	4	Same	Prime_B	1	Transitive
11	5	Same	Prime_B	0	Locative
11	6	Diff	Prime_B	0	Dative
11	7	Diff	Prime_A	1	Transitive
11	8	Same	Prime_A	1	Locative
11	9	Same	Prime_A	0	Dative
11	10	Diff	Prime_B	0	Transitive
11	11	Diff	Prime_B	1	Locative
11	12	Same	Prime_B	1	Dative
11	13	Same	Prime_A	0	Transitive
11	14	Diff	Prime_A	1	Locative
11	15	Diff	Prime_A	1	Dative
11	16	Same	Prime_B	0	Transitive
11	17	Same	Prime_B	1	Locative
11	18	Diff	Prime_B	1	Dative
11	19	Diff	Prime_A	1	Transitive
11	20	Same	Prime_A	1	Locative
11	21	Same	Prime_A	1	Dative
11	22	Diff	Prime_B	1	Transitive
11	24	Same	Prime_B	1	Dative
11	25	Same	Prime_A	1	Transitive
11	26	Diff	Prime_A	1	Locative
11	27	Diff	Prime_A	0	Dative
11	28	Same	Prime_B	0	Transitive
11	29	Same	Prime_B	1	Locative
11	30	Diff	Prime_B	0	Dative
11	31	Diff	Prime_A	1	Transitive
11	33	Same	Prime_A	0	Dative
11	34	Diff	Prime_B	1	Transitive
11	35	Diff	Prime_B	0	Locative
11	36	Same	Prime_B	0	Dative
11	37	Same	Prime_A	1	Transitive
11	39	Diff	Prime_A	1	Dative
11	40	Same	Prime_B	0	Transitive
11	41	Same	Prime_B	1	Locative
11	42	Diff	Prime_B	0	Dative
11	43	Diff	Prime_A	1	Transitive
11	44	Same	Prime_A	1	Locative
11	45	Same	Prime_A	1	Dative
11	46	Diff	Prime_B	1	Transitive
11	48	Same	Prime_B	1	Dative
12	3	Same	Prime_A	1	Dative
12	4	Diff	Prime_B	1	Transitive
12	5	Diff	Prime_B	0	Locative
12	6	Same	Prime_B	0	Dative
12	7	Same	Prime_A	1	Transitive
12	9	Diff	Prime_A	0	Dative
12	10	Same	Prime_B	1	Transitive
12	12	Diff	Prime_B	0	Dative
12	13	Diff	Prime_A	1	Transitive
12	15	Same	Prime_A	1	Dative
12	17	Diff	Prime_B	1	Locative
12	18	Same	Prime_B	0	Dative
12	19	Same	Prime_A	1	Transitive
12	21	Diff	Prime_A	0	Dative
12	22	Same	Prime_B	1	Transitive
12	25	Diff	Prime_A	1	Transitive
12	26	Same	Prime_A	1	Locative
12	27	Same	Prime_A	0	Dative
12	28	Diff	Prime_B	0	Transitive
12	29	Diff	Prime_B	1	Locative
12	30	Same	Prime_B	1	Dative
12	31	Same	Prime_A	0	Transitive
12	32	Diff	Prime_A	1	Locative
12	33	Diff	Prime_A	0	Dative
12	34	Same	Prime_B	1	Transitive
12	35	Same	Prime_B	0	Locative
12	36	Diff	Prime_B	1	Dative
12	37	Diff	Prime_A	1	Transitive
12	38	Same	Prime_A	1	Locative
12	39	Same	Prime_A	1	Dative
12	40	Diff	Prime_B	0	Transitive
12	42	Same	Prime_B	0	Dative
12	43	Same	Prime_A	1	Transitive
12	44	Diff	Prime_A	0	Locative
12	45	Diff	Prime_A	1	Dative
12	46	Same	Prime_B	1	Transitive
12	47	Same	Prime_B	1	Locative
12	48	Diff	Prime_B	1	Dative
13	1	Diff	Prime_B	1	Transitive
13	3	Same	Prime_B	1	Dative
13	4	Diff	Prime_A	1	Transitive
13	5	Diff	Prime_A	1	Locative
13	6	Same	Prime_A	0	Dative
13	7	Same	Prime_B	1	Transitive
13	9	Diff	Prime_B	0	Dative
13	10	Same	Prime_A	1	Transitive
13	12	Diff	Prime_A	0	Dative
13	13	Diff	Prime_B	1	Transitive
13	14	Same	Prime_B	0	Locative
13	15	Same	Prime_B	0	Dative
13	18	Same	Prime_A	1	Dative
